,"Scan 00869"
"400","7455.854"
"401","7439.759"
"402","7435.213"
"403","7450.771"
"404","7494.926"
"405","7574.028"
"406","7676.445"
"407","7781.492"
"408","7868.563"
"409","7918.655"
"410","7931.818"
"411","7921.318"
"412","7900.604"
"413","7882.39"
"414","7866.311"
"415","7839.82"
"416","7789.991"
"417","7704.457"
"418","7587.212"
"419","7462.38"
"420","7355.163"
"421","7290.323"
"422","7275.159"
"423","7288.955"
"424","7308.594"
"425","7311.196"
"426","7285.417"
"427","7243.87"
"428","7202.076"
"429","7175.444"
"430","7172.986"
"431","7186.647"
"432","7205.588"
"433","7219.041"
"434","7219.293"
"435","7209.002"
"436","7193.037"
"437","7176.239"
"438","7162.467"
"439","7151.433"
"440","7141.713"
"441","7131.896"
"442","7120.723"
"443","7107.73"
"444","7092.727"
"445","7075.524"
"446","7056.498"
"447","7039.85"
"448","7031.342"
"449","7036.699"
"450","7060.283"
"451","7095.415"
"452","7130.027"
"453","7152.088"
"454","7150.853"
"455","7127.734"
"456","7091.125"
"457","7049.444"
"458","7010.69"
"459","6978.379"
"460","6953.057"
"461","6935.212"
"462","6925.234"
"463","6922.061"
"464","6923.557"
"465","6927.57"
"466","6931.919"
"467","6933.639"
"468","6929.12"
"469","6914.754"
"470","6887.301"
"471","6850.375"
"472","6813.86"
"473","6787.812"
"474","6781.856"
"475","6797.218"
"476","6826.792"
"477","6863.157"
"478","6899.004"
"479","6928.812"
"480","6948.948"
"481","6955.888"
"482","6946.304"
"483","6921.755"
"484","6889.265"
"485","6856.1"
"486","6829.373"
"487","6812.55"
"488","6804.871"
"489","6805.343"
"490","6812.867"
"491","6822.493"
"492","6824.703"
"493","6809.755"
"494","6768.324"
"495","6703.08"
"496","6631.158"
"497","6570.464"
"498","6538.356"
"499","6537.321"
"500","6551.941"
"501","6565.819"
"502","6562.956"
"503","6537.291"
"504","6494.544"
"505","6441.09"
"506","6383.252"
"507","6326.915"
"508","6277.458"
"509","6240.204"
"510","6220.211"
"511","6215.941"
"512","6218.565"
"513","6218.918"
"514","6208.241"
"515","6186.709"
"516","6163.846"
"517","6149.563"
"518","6153.263"
"519","6174.047"
"520","6200.954"
"521","6222.661"
"522","6228.445"
"523","6218.11"
"524","6200.929"
"525","6186.473"
"526","6183.733"
"527","6192.987"
"528","6207.367"
"529","6219.837"
"530","6223.691"
"531","6216.48"
"532","6198.882"
"533","6171.641"
"534","6135.814"
"535","6096.173"
"536","6059.891"
"537","6034.147"
"538","6024.97"
"539","6027.367"
"540","6030.127"
"541","6022.027"
"542","5993.978"
"543","5953.894"
"544","5917.915"
"545","5902.15"
"546","5919.38"
"547","5960.595"
"548","6007.923"
"549","6043.549"
"550","6053.064"
"551","6040.184"
"552","6014.722"
"553","5986.447"
"554","5963.917"
"555","5950.514"
"556","5948.204"
"557","5958.939"
"558","5982.596"
"559","6011.821"
"560","6037.719"
"561","6051.442"
"562","6047.455"
"563","6029.256"
"564","6001.868"
"565","5970.282"
"566","5939.058"
"567","5911.835"
"568","5892.123"
"569","5883.366"
"570","5885.503"
"571","5892.596"
"572","5898.172"
"573","5895.901"
"574","5883.979"
"575","5866.476"
"576","5847.839"
"577","5832.334"
"578","5820.518"
"579","5809.241"
"580","5795.208"
"581","5775.592"
"582","5754.307"
"583","5740.373"
"584","5742.901"
"585","5769.551"
"586","5814.119"
"587","5862.571"
"588","5900.847"
"589","5916.862"
"590","5911.511"
"591","5891.027"
"592","5861.628"
"593","5829.54"
"594","5801.088"
"595","5782.613"
"596","5780.428"
"597","5797.068"
"598","5822.984"
"599","5846.242"
"600","5854.982"
"601","5843.461"
"602","5819.407"
"603","5792.329"
"604","5771.611"
"605","5761.642"
"606","5759.15"
"607","5760.224"
"608","5761.104"
"609","5761.518"
"610","5764.922"
"611","5774.94"
"612","5794.736"
"613","5821.25"
"614","5846.857"
"615","5863.857"
"616","5865.703"
