,"Scan 01152"
"400","10147.76"
"401","10163.62"
"402","10172.99"
"403","10167.83"
"404","10150.82"
"405","10128.04"
"406","10105.56"
"407","10088.72"
"408","10077.43"
"409","10069.04"
"410","10060.85"
"411","10050.46"
"412","10038.7"
"413","10028.61"
"414","10023.29"
"415","10025.66"
"416","10035.7"
"417","10050.53"
"418","10067.13"
"419","10082.58"
"420","10094.74"
"421","10102.63"
"422","10105.32"
"423","10101.93"
"424","10093.29"
"425","10083.39"
"426","10076.52"
"427","10076.94"
"428","10085.62"
"429","10095.31"
"430","10097.55"
"431","10083.95"
"432","10050.33"
"433","10006.68"
"434","9965.861"
"435","9940.683"
"436","9940.233"
"437","9957.156"
"438","9979.507"
"439","9995.432"
"440","9995.102"
"441","9980.444"
"442","9957.69"
"443","9933.038"
"444","9912.207"
"445","9897.581"
"446","9889.965"
"447","9890.156"
"448","9898.528"
"449","9911.278"
"450","9922.195"
"451","9925.084"
"452","9914.283"
"453","9890.705"
"454","9859.852"
"455","9827.284"
"456","9798.307"
"457","9774.397"
"458","9753.846"
"459","9734.856"
"460","9715.729"
"461","9696.488"
"462","9678.835"
"463","9664.533"
"464","9655.211"
"465","9648.978"
"466","9640.009"
"467","9622.307"
"468","9590.15"
"469","9546.492"
"470","9505.255"
"471","9480.986"
"472","9487.844"
"473","9525.658"
"474","9574.109"
"475","9611.466"
"476","9616.396"
"477","9583.174"
"478","9530.187"
"479","9477.777"
"480","9446.024"
"481","9443.732"
"482","9460.93"
"483","9485.908"
"484","9507.087"
"485","9518.108"
"486","9521.857"
"487","9522.157"
"488","9522.783"
"489","9524.617"
"490","9523.173"
"491","9513.396"
"492","9490.294"
"493","9452.437"
"494","9405.228"
"495","9354.815"
"496","9307.301"
"497","9267.417"
"498","9237.245"
"499","9218.555"
"500","9213.07"
"501","9217.643"
"502","9219.657"
"503","9205.469"
"504","9161.604"
"505","9085.718"
"506","8996.685"
"507","8915.67"
"508","8863.601"
"509","8848.128"
"510","8852.46"
"511","8857.249"
"512","8843.399"
"513","8804.939"
"514","8758.941"
"515","8724.729"
"516","8721.311"
"517","8751.966"
"518","8794.095"
"519","8822.786"
"520","8813.582"
"521","8760.609"
"522","8686.268"
"523","8615.224"
"524","8571.665"
"525","8563.985"
"526","8578.708"
"527","8600.813"
"528","8615.522"
"529","8614.177"
"530","8595.698"
"531","8559.497"
"532","8505.269"
"533","8440.439"
"534","8380.993"
"535","8343.259"
"536","8342.758"
"537","8379.012"
"538","8436.172"
"539","8497.842"
"540","8548.052"
"541","8576.754"
"542","8578.796"
"543","8549.201"
"544","8484.256"
"545","8396.493"
"546","8309.812"
"547","8248.222"
"548","8233.05"
"549","8259.223"
"550","8306.308"
"551","8353.78"
"552","8383.389"
"553","8394.25"
"554","8393.747"
"555","8389.274"
"556","8386.86"
"557","8384.244"
"558","8376.036"
"559","8356.863"
"560","8323.824"
"561","8285.703"
"562","8254.708"
"563","8242.989"
"564","8257.167"
"565","8283.967"
"566","8305.663"
"567","8304.637"
"568","8271.946"
"569","8222.234"
"570","8174.065"
"571","8145.857"
"572","8147.156"
"573","8169.392"
"574","8201.814"
"575","8233.771"
"576","8257.346"
"577","8268.802"
"578","8264.776"
"579","8242.118"
"580","8203.721"
"581","8159.374"
"582","8119.198"
"583","8092.888"
"584","8083.465"
"585","8088.337"
"586","8104.745"
"587","8129.696"
"588","8157.561"
"589","8181.108"
"590","8193.118"
"591","8187.712"
"592","8168.3"
"593","8142.264"
"594","8116.981"
"595","8098.671"
"596","8088.326"
"597","8085.4"
"598","8089.352"
"599","8099.264"
"600","8113.05"
"601","8128.41"
"602","8143.043"
"603","8154.062"
"604","8157.346"
"605","8148.634"
"606","8123.831"
"607","8085.446"
"608","8045.122"
"609","8015.128"
"610","8007.128"
"611","8021.355"
"612","8047.449"
"613","8074.686"
"614","8093.118"
"615","8100.788"
"616","8100.628"
"617","8095.626"
"618","8088.601"
"619","8081.288"
"620","8075.008"
"621","8071.071"
"622","8069.477"
"623","8065.208"
"624","8052.077"
"625","8023.943"
"626","7980.809"
"627","7936.796"
"628","7907.954"
"629","7909.986"
"630","7944.151"
"631","7991.255"
"632","8030.611"
"633","8042.688"
"634","8028.109"
"635","8005.219"
"636","7992.914"
"637","8007.465"
"638","8041.724"
"639","8076.032"
"640","8090.67"
"641","8070.673"
"642","8024.491"
"643","7967.802"
"644","7916.242"
"645","7881.13"
"646","7861.937"
"647","7856.105"
"648","7861.086"
"649","7874.45"
"650","7893.957"
"651","7917.389"
"652","7942.535"
"653","7967.272"
"654","7989.542"
"655","8007.297"
"656","8018.612"
"657","8022.541"
"658","8018.662"
"659","8006.556"
"660","7986.992"
"661","7966.111"
"662","7951.575"
"663","7951"
"664","7966.88"
"665","7989.525"
"666","8007.498"
"667","8009.632"
"668","7994.023"
"669","7970.751"
"670","7950.656"
"671","7943.854"
"672","7951.113"
