,"Scan 01065"
"400","9920.312"
"401","9861.034"
"402","9795.565"
"403","9741.636"
"404","9716.834"
"405","9735.668"
"406","9786.982"
"407","9846.7"
"408","9890.812"
"409","9897.284"
"410","9867.651"
"411","9819.803"
"412","9771.836"
"413","9741.1"
"414","9732.185"
"415","9737.799"
"416","9750.238"
"417","9762.008"
"418","9770.735"
"419","9780.364"
"420","9795.195"
"421","9819.393"
"422","9850.427"
"423","9874.987"
"424","9878.867"
"425","9848.04"
"426","9780.247"
"427","9697.723"
"428","9625.632"
"429","9588.938"
"430","9600.677"
"431","9642.009"
"432","9688.903"
"433","9717.493"
"434","9711.743"
"435","9682.279"
"436","9645.39"
"437","9617.261"
"438","9609.899"
"439","9617.457"
"440","9629.229"
"441","9634.595"
"442","9625.026"
"443","9603.137"
"444","9575.297"
"445","9547.841"
"446","9526.038"
"447","9508.229"
"448","9489.908"
"449","9466.583"
"450","9434.652"
"451","9397.611"
"452","9362.421"
"453","9336.021"
"454","9324.521"
"455","9326.006"
"456","9333.972"
"457","9341.902"
"458","9343.864"
"459","9340.514"
"460","9336.857"
"461","9337.946"
"462","9348.254"
"463","9364.312"
"464","9376.735"
"465","9376.053"
"466","9353.494"
"467","9311.229"
"468","9260.538"
"469","9212.907"
"470","9179.339"
"471","9162.59"
"472","9157.865"
"473","9160.123"
"474","9164.524"
"475","9170.297"
"476","9180.687"
"477","9199.094"
"478","9228.614"
"479","9264.871"
"480","9295.592"
"481","9308.183"
"482","9290.689"
"483","9247.114"
"484","9199.29"
"485","9169.855"
"486","9180.637"
"487","9232.144"
"488","9300.14"
"489","9359.132"
"490","9384.352"
"491","9369.691"
"492","9331.282"
"493","9286.464"
"494","9252.123"
"495","9233.343"
"496","9220.985"
"497","9205.101"
"498","9176.152"
"499","9136.182"
"500","9101.169"
"501","9087.842"
"502","9112.504"
"503","9180.833"
"504","9285.91"
"505","9420.126"
"506","9576.809"
"507","9776.796"
"508","10072.67"
"509","10518.47"
"510","11166.68"
"511","12033.8"
"512","13096.54"
"513","14329.68"
"514","15705.96"
"515","17142.56"
"516","18498.57"
"517","19631.04"
"518","20401.14"
"519","20743.97"
"520","20666.95"
"521","20180.44"
"522","19298.16"
"523","18099.58"
"524","16723.33"
"525","15309.46"
"526","13993.13"
"527","12840.79"
"528","11862.55"
"529","11066.83"
"530","10459.71"
"531","10015.43"
"532","9684.892"
"533","9418.674"
"534","9170.668"
"535","8930.665"
"536","8711.811"
"537","8527.583"
"538","8389.627"
"539","8292.166"
"540","8219.59"
"541","8156.252"
"542","8088.32"
"543","8016.126"
"544","7946.885"
"545","7887.812"
"546","7844.671"
"547","7813.733"
"548","7787.403"
"549","7758.108"
"550","7719.813"
"551","7674.634"
"552","7627.431"
"553","7583.052"
"554","7545.612"
"555","7516.174"
"556","7494.946"
"557","7482.144"
"558","7477.129"
"559","7476.285"
"560","7475.366"
"561","7470.152"
"562","7457.667"
"563","7438.333"
"564","7413.15"
"565","7383.121"
"566","7351.136"
"567","7324.147"
"568","7309.605"
"569","7314.816"
"570","7338.634"
"571","7365.755"
"572","7379.582"
"573","7363.964"
"574","7317.176"
"575","7256.224"
"576","7199.299"
"577","7163.915"
"578","7153.936"
"579","7159.587"
"580","7170.541"
"581","7177.088"
"582","7178"
"583","7178.473"
"584","7183.846"
"585","7198.709"
"586","7220.515"
"587","7242.688"
"588","7258.638"
"589","7262.97"
"590","7258.217"
"591","7250.168"
"592","7244.593"
"593","7245.339"
"594","7247.383"
"595","7243.134"
"596","7225.039"
"597","7190.094"
"598","7149.877"
"599","7118.836"
"600","7111.319"
"601","7132.728"
"602","7168.695"
