,"Scan 00882"
"400","9178.779"
"401","9024.868"
"402","8756.429"
"403","8395.624"
"404","7964.47"
"405","7485.821"
"406","6990.925"
"407","6515.169"
"408","6093.712"
"409","5761.128"
"410","5547.527"
"411","5479.859"
"412","5584.81"
"413","5886.221"
"414","6353.174"
"415","6903.759"
"416","7454.688"
"417","7924.702"
"418","8283.102"
"419","8561.296"
"420","8794.32"
"421","9016.658"
"422","9242.985"
"423","9456.217"
"424","9636.506"
"425","9764.225"
"426","9832.548"
"427","9861.252"
"428","9873.326"
"429","9891.574"
"430","9928.852"
"431","9971.443"
"432","10001.3"
"433","10000.5"
"434","9960.004"
"435","9901.181"
"436","9851.818"
"437","9839.523"
"438","9882.644"
"439","9959.663"
"440","10038.31"
"441","10086.55"
"442","10079.5"
"443","10030.68"
"444","9966.497"
"445","9913.221"
"446","9893.802"
"447","9909.864"
"448","9954.25"
"449","10019.81"
"450","10098.93"
"451","10179.58"
"452","10247.66"
"453","10289.11"
"454","10291.41"
"455","10256.35"
"456","10193.95"
"457","10114.24"
"458","10027.5"
"459","9947.38"
"460","9889.742"
"461","9870.389"
"462","9903.339"
"463","9978.354"
"464","10067.08"
"465","10140.92"
"466","10172.81"
"467","10159.03"
"468","10115.34"
"469","10057.96"
"470","10002.82"
"471","9961.894"
"472","9943.464"
"473","9955.649"
"474","10005.77"
"475","10084.23"
"476","10164.64"
"477","10220.06"
"478","10224.6"
"479","10175.89"
"480","10096.47"
"481","10009.93"
"482","9939.304"
"483","9895.956"
"484","9878.193"
"485","9883.649"
"486","9909.727"
"487","9946.307"
"488","9974.528"
"489","9975.144"
"490","9929.675"
"491","9841.087"
"492","9737.899"
"493","9649.971"
"494","9606.294"
"495","9612.821"
"496","9647.721"
"497","9687.623"
"498","9709.661"
"499","9703.218"
"500","9672.415"
"501","9622.234"
"502","9557.656"
"503","9484.702"
"504","9410.622"
"505","9342.709"
"506","9288.139"
"507","9252.041"
"508","9237.19"
"509","9246.211"
"510","9281.324"
"511","9333.718"
"512","9382.382"
"513","9405.779"
"514","9383.312"
"515","9314.932"
"516","9222.103"
"517","9127.192"
"518","9051.583"
"519","8997.433"
"520","8948.119"
"521","8886.313"
"522","8795.747"
"523","8678.931"
"524","8555.268"
"525","8444.667"
"526","8366.283"
"527","8328.312"
"528","8329.978"
"529","8370.246"
"530","8447.327"
"531","8548.758"
"532","8654.25"
"533","8743.439"
"534","8797.873"
"535","8820.485"
"536","8828.094"
"537","8837.673"
"538","8863.836"
"539","8898.755"
"540","8921.937"
"541","8912.839"
"542","8855.215"
"543","8767.03"
"544","8682.787"
"545","8636.919"
"546","8657.231"
"547","8728.143"
"548","8816.424"
"549","8888.954"
"550","8918.417"
"551","8908.346"
"552","8872.66"
"553","8825.221"
"554","8778.202"
"555","8736.594"
"556","8703.41"
"557","8681.652"
"558","8673.072"
"559","8675.119"
"560","8684.312"
"561","8697.192"
"562","8711.235"
"563","8726.463"
"564","8743.336"
"565","8762.309"
"566","8784.306"
"567","8811.256"
"568","8845.215"
"569","8888.139"
"570","8935.124"
"571","8969.782"
"572","8974.693"
"573","8933.076"
"574","8850.224"
"575","8760.097"
"576","8698.432"
"577","8699.254"
"578","8760.472"
"579","8843.941"
"580","8910.109"
"581","8922.25"
"582","8882.841"
"583","8824.075"
"584","8778.75"
"585","8776.071"
"586","8811.218"
"587","8860.134"
"588","8898.655"
"589","8905.782"
"590","8881.296"
"591","8833.526"
"592","8770.789"
"593","8701.898"
"594","8638.138"
"595","8591.467"
"596","8573.792"
"597","8591.283"
"598","8631.762"
"599","8679.423"
"600","8718.555"
"601","8740.088"
"602","8749.58"
"603","8754.532"
"604","8762.287"
"605","8772.68"
"606","8774.036"
"607","8753.742"
"608","8699.974"
"609","8620.239"
"610","8542.664"
"611","8496.278"
"612","8507.489"
"613","8567.52"
"614","8641.813"
"615","8695.34"
"616","8697.742"
"617","8656.373"
"618","8597.145"
"619","8546.005"
"620","8523.795"
"621","8525.569"
"622","8538.169"
"623","8548.478"
"624","8545.116"
"625","8522.126"
"626","8474.655"
"627","8397.901"
"628","8291.882"
"629","8166.339"
"630","8032.141"
"631","7900.105"
"632","7780.285"
"633","7681.769"
"634","7613.552"
"635","7584.255"
"636","7596.663"
"637","7648.753"
"638","7738.368"
"639","7861.986"
"640","8004.087"
"641","8142.979"
"642","8256.983"
"643","8328.479"
"644","8359.705"
"645","8359.043"
"646","8334.852"
"647","8297.793"
"648","8265.202"
"649","8255.549"
"650","8287.013"
"651","8359.439"
"652","8441.747"
"653","8499.959"
"654","8501.555"
"655","8446.218"
"656","8366.268"
"657","8295.379"
"658","8264.39"
"659","8274.947"
"660","8311.132"
"661","8356.82"
"662","8397.698"
"663","8429.179"
"664","8450.006"
"665","8458.94"
"666","8458.014"
"667","8458.97"
"668","8475.319"
"669","8520.32"
"670","8592.348"
"671","8665.326"
"672","8710.986"
"673","8702.253"
"674","8634.973"
"675","8526.336"
"676","8394.307"
"677","8255.089"
"678","8109.843"
"679","7951.91"
"680","7774.581"
"681","7575.737"
"682","7373.262"
"683","7190.468"
"684","7050.564"
"685","6968.278"
"686","6939.431"
"687","6957.275"
"688","7015.175"
"689","7109.116"
"690","7238.225"
"691","7401.815"
"692","7597.857"
"693","7808.782"
"694","8007.059"
"695","8165.062"
"696","8261.835"
"697","8311.183"
"698","8338.249"
"699","8368.097"
"700","8414.946"
"701","8465.662"
"702","8502.866"
"703","8509.643"
"704","8484.976"
"705","8448.218"
"706","8420.018"
"707","8419.351"
"708","8445.727"
"709","8485.852"
"710","8526.233"
"711","8555.75"
"712","8575.328"
"713","8589.748"
"714","8603.774"
"715","8618.718"
"716","8627.769"
"717","8622.951"
"718","8596.678"
"719","8552.438"
"720","8506.468"
"721","8475.677"
"722","8474.998"
"723","8500.391"
"724","8537.125"
"725","8570.39"
"726","8588.317"
"727","8591.123"
"728","8582.113"
"729","8564.599"
"730","8544.228"
"731","8530.912"
"732","8535.012"
"733","8566.049"
"734","8618.803"
"735","8675.238"
"736","8716.932"
"737","8728.692"
"738","8716.229"
"739","8693.587"
"740","8674.795"
"741","8667.104"
"742","8659.438"
"743","8637.658"
"744","8588.207"
"745","8515.998"
"746","8448.273"
"747","8413.565"
"748","8436.354"
"749","8503.171"
"750","8579.736"
"751","8631.61"
"752","8636.014"
"753","8612.735"
"754","8591.26"
"755","8600.683"
"756","8648.916"
"757","8711.407"
"758","8760.882"
"759","8772.411"
"760","8749.786"
"761","8716.244"
"762","8695.362"
"763","8705.101"
"764","8738.451"
"765","8781.446"
"766","8820.188"
"767","8844.665"
"768","8851.77"
"769","8839.106"
"770","8805.178"
"771","8761.647"
"772","8730.135"
"773","8732.489"
"774","8783.21"
"775","8860.891"
"776","8933.174"
"777","8967.906"
"778","8951.103"
"779","8902.74"
"780","8846.501"
"781","8805.081"
"782","8786.729"
"783","8788.54"
"784","8807.313"
"785","8838.275"
"786","8869.006"
"787","8884.788"
"788","8871.081"
"789","8827.711"
"790","8780.253"
"791","8756.939"
"792","8783.529"
"793","8852.604"
"794","8932.896"
"795","8992.628"
"796","9007.528"
"797","8985.433"
"798","8942.816"
"799","8896.093"
"800","8858.841"
"801","8840.225"
"802","8849.015"
"803","8892.385"
"804","8960.305"
"805","9032.256"
"806","9087.584"
"807","9112.429"
"808","9116.404"
"809","9114.188"
"810","9120.071"
"811","9134.71"
"812","9141.703"
"813","9123.578"
"814","9067.063"
"815","8991.746"
"816","8932.66"
"817","8924.857"
"818","8983.338"
"819","9072.322"
"820","9148.126"
"821","9169.047"
"822","9132.48"
"823","9071.852"
"824","9021.915"
"825","9010.709"
"826","9031.219"
"827","9065.014"
"828","9093.779"
"829","9107.656"
"830","9111.358"
"831","9111.029"
"832","9112.157"
"833","9113.007"
"834","9107.373"
"835","9088.979"
"836","9055.93"
"837","9020.411"
"838","8997.439"
"839","9001.549"
"840","9034.396"
"841","9083.608"
"842","9136.092"
"843","9179.912"
"844","9210.05"
"845","9224.071"
"846","9219.581"
"847","9198.631"
"848","9171.511"
"849","9149.412"
"850","9142.855"
"851","9154.706"
"852","9182.945"
"853","9225.482"
"854","9276.679"
"855","9319.718"
"856","9335.585"
"857","9306.297"
"858","9238.487"
"859","9163.968"
"860","9115.67"
"861","9118.779"
"862","9157.379"
"863","9202.008"
"864","9223.502"
"865","9211.446"
"866","9185.106"
"867","9166.353"
"868","9174.229"
"869","9202.984"
"870","9234.03"
"871","9248.711"
"872","9238.101"
"873","9216.628"
"874","9202.154"
"875","9211.679"
"876","9249.53"
"877","9310.354"
"878","9388.557"
"879","9476.076"
"880","9555.99"
"881","9609.384"
"882","9618.129"
"883","9584.55"
"884","9533.003"
"885","9488.931"
"886","9472.463"
"887","9475.951"
"888","9482.716"
"889","9476.346"
"890","9455.17"
"891","9439.132"
"892","9449.901"
"893","9504.74"
"894","9588.339"
"895","9670.774"
"896","9722.194"
"897","9728.325"
"898","9705.232"
"899","9672.477"
"900","9648.277"
"901","9637.122"
"902","9635.427"
"903","9639.509"
"904","9645.833"
"905","9651.229"
"906","9652.58"
"907","9647.177"
"908","9638.034"
"909","9632.389"
"910","9637.564"
"911","9658.259"
"912","9690.87"
"913","9730.154"
"914","9770.898"
"915","9808.384"
"916","9838.332"
"917","9856.479"
"918","9859.323"
"919","9846.288"
"920","9817.493"
"921","9773.399"
"922","9722.588"
"923","9682.094"
"924","9669.34"
"925","9695.816"
"926","9746.338"
"927","9798.22"
"928","9829.272"
"929","9833.098"
"930","9821.81"
"931","9808.567"
"932","9804.432"
"933","9809.732"
"934","9821.413"
"935","9836.417"
"936","9852.069"
"937","9866.187"
"938","9876.611"
"939","9880.806"
"940","9874.127"
"941","9851.206"
"942","9806.927"
"943","9747.275"
"944","9693.284"
"945","9667.065"
"946","9685.613"
"947","9736.254"
"948","9795.64"
"949","9840.741"
"950","9863.597"
"951","9877.226"
"952","9896.197"
"953","9930.436"
"954","9962.672"
"955","9965.758"
"956","9913.215"
"957","9809.501"
"958","9701.758"
"959","9640.271"
"960","9663.457"
"961","9741.998"
"962","9822.605"
"963","9852.918"
"964","9820.341"
"965","9765.095"
"966","9731.054"
"967","9752.398"
"968","9811.343"
"969","9872.783"
"970","9902.329"
"971","9891.65"
"972","9864.681"
"973","9847.368"
"974","9858"
"975","9877.626"
"976","9876.026"
"977","9823.894"
"978","9718.561"
"979","9587.226"
"980","9458.673"
"981","9357.055"
"982","9286.781"
"983","9247.017"
"984","9236.85"
"985","9253.654"
"986","9293.111"
"987","9350.83"
"988","9422.212"
"989","9501.907"
"990","9584.399"
"991","9664.095"
"992","9734.211"
"993","9786.962"
"994","9814.529"
"995","9814.171"
"996","9798.133"
"997","9781.43"
"998","9778.196"
"999","9791.344"
"1000","9815.982"
"1001","9847.069"
"1002","9879.745"
"1003","9909.596"
"1004","9932.271"
"1005","9943.409"
"1006","9939.849"
"1007","9926.4"
"1008","9911.165"
"1009","9902.144"
"1010","9901.72"
"1011","9904.202"
"1012","9903.275"
"1013","9895.195"
"1014","9890.235"
"1015","9903.406"
"1016","9949.157"
"1017","10023.7"
"1018","10101.8"
"1019","10157.02"
"1020","10169.5"
"1021","10147.33"
"1022","10105.99"
"1023","10060.66"
"1024","10020.91"
"1025","9991.045"
"1026","9975.195"
"1027","9975.701"
"1028","9989.288"
"1029","10011.57"
"1030","10038.32"
"1031","10067.38"
"1032","10098.07"
"1033","10129.72"
"1034","10160.84"
"1035","10188.09"
"1036","10207.9"
"1037","10217.13"
"1038","10216.58"
"1039","10209.06"
"1040","10197.38"
"1041","10183.39"
"1042","10167.37"
"1043","10149.47"
"1044","10130.85"
"1045","10118.28"
"1046","10120.45"
"1047","10145.65"
"1048","10190.37"
"1049","10238.23"
"1050","10272.16"
"1051","10280.66"
"1052","10271.91"
"1053","10258.41"
"1054","10252.18"
"1055","10258.04"
"1056","10275.67"
"1057","10304.57"
"1058","10341.87"
"1059","10379.44"
"1060","10408.44"
"1061","10421.4"
"1062","10421.33"
"1063","10415.93"
"1064","10412.83"
"1065","10413.3"
"1066","10410.11"
"1067","10395.4"
"1068","10365.04"
"1069","10330.5"
"1070","10307.38"
"1071","10310.39"
"1072","10339.96"
"1073","10385"
"1074","10434.03"
"1075","10476.46"
"1076","10503.65"
"1077","10507.25"
"1078","10481.13"
"1079","10436.13"
"1080","10390.91"
"1081","10363.88"
"1082","10361.68"
"1083","10375.67"
"1084","10396.16"
"1085","10414.59"
"1086","10426.57"
"1087","10428.74"
"1088","10418.23"
"1089","10399.09"
"1090","10380.2"
"1091","10370.55"
"1092","10374.77"
"1093","10389.11"
"1094","10408.86"
"1095","10429.71"
"1096","10449.72"
"1097","10467.8"
"1098","10482.72"
"1099","10489.65"
"1100","10480.24"
"1101","10446.01"
"1102","10387.29"
"1103","10327.89"
"1104","10295.52"
"1105","10313.35"
"1106","10368"
"1107","10428.4"
"1108","10463.86"
"1109","10461.06"
"1110","10428.63"
"1111","10376.59"
"1112","10316.88"
"1113","10267.83"
"1114","10249.17"
"1115","10277.63"
"1116","10339.28"
"1117","10402.14"
"1118","10434.42"
"1119","10427.03"
"1120","10404.46"
"1121","10393.9"
"1122","10414.5"
"1123","10453.49"
"1124","10490.27"
"1125","10506.1"
"1126","10504.59"
"1127","10503.91"
"1128","10522.25"
"1129","10559.46"
"1130","10586.24"
"1131","10570.63"
"1132","10494.14"
"1133","10394.17"
"1134","10322.69"
"1135","10326.77"
"1136","10393.47"
"1137","10469.98"
"1138","10503.25"
"1139","10474.57"
"1140","10419.47"
"1141","10378.25"
"1142","10379.42"
"1143","10404.46"
"1144","10423.12"
"1145","10408.32"
"1146","10368.18"
"1147","10332.72"
"1148","10331.89"
"1149","10376.26"
"1150","10448.54"
"1151","10529.26"
"1152","10600.72"
"1153","10651.25"
"1154","10670.46"
"1155","10650.13"
"1156","10601.51"
"1157","10546.22"
"1158","10505.58"
"1159","10487.61"
"1160","10484.32"
"1161","10486.8"
"1162","10490.14"
"1163","10500.47"
"1164","10525.81"
"1165","10570.99"
"1166","10619.46"
"1167","10645.77"
"1168","10625.99"
"1169","10567.85"
"1170","10508.32"
"1171","10485.34"
"1172","10516.54"
"1173","10578.62"
"1174","10643.42"
"1175","10687.28"
"1176","10707.87"
"1177","10709.08"
"1178","10694.83"
"1179","10669.41"
"1180","10637.37"
"1181","10603.21"
"1182","10569.32"
"1183","10535.15"
"1184","10499.99"
"1185","10468.04"
"1186","10458.19"
"1187","10492.04"
"1188","10584.08"
"1189","10700.51"
"1190","10787.36"
"1191","10793.62"
"1192","10724.05"
"1193","10631.88"
"1194","10571.66"
"1195","10570.42"
"1196","10606.57"
"1197","10653.58"
"1198","10688.66"
"1199","10703.32"
"1200","10692.37"
"1201","10653.73"
"1202","10611.43"
"1203","10602.59"
"1204","10662.38"
"1205","10778.18"
"1206","10889.75"
"1207","10935.02"
"1208","10889.75"
"1209","10803.84"
"1210","10735.78"
"1211","10728.62"
"1212","10762.7"
"1213","10802.45"
"1214","10815.99"
"1215","10803.97"
"1216","10783.78"
"1217","10772.44"
"1218","10773.66"
"1219","10778.11"
"1220","10775.95"
"1221","10765.85"
"1222","10762.48"
"1223","10782.22"
"1224","10833.7"
"1225","10896.76"
"1226","10944.63"
"1227","10954.51"
"1228","10933.96"
"1229","10904.39"
"1230","10886.22"
"1231","10881.47"
"1232","10876.55"
"1233","10857.59"
"1234","10823.86"
"1235","10794.85"
"1236","10791.79"
"1237","10825.4"
"1238","10876.5"
"1239","10920.58"
"1240","10936.43"
"1241","10921.37"
"1242","10879.06"
"1243","10814.53"
"1244","10748.13"
"1245","10709.83"
"1246","10728.69"
"1247","10804.62"
"1248","10905.46"
"1249","10997.53"
"1250","11061.49"
"1251","11105.51"
"1252","11140.92"
"1253","11172.95"
"1254","11185.82"
"1255","11159.2"
"1256","11079.93"
"1257","10980.73"
"1258","10912.43"
"1259","10921"
"1260","10990.53"
"1261","11063.02"
"1262","11081.26"
"1263","11037.15"
"1264","10978.46"
"1265","10955.78"
"1266","10988.7"
"1267","11038"
"1268","11057.85"
"1269","11021.56"
"1270","10964.94"
"1271","10936.48"
"1272","10973.21"
"1273","11046.66"
"1274","11105.19"
"1275","11102.96"
"1276","11054.5"
"1277","11009.83"
"1278","11017.2"
"1279","11077.93"
"1280","11149.02"
"1281","11186.21"
"1282","11171.84"
"1283","11128.09"
"1284","11080.4"
"1285","11046.18"
"1286","11023.57"
"1287","11007.86"
"1288","10995.02"
"1289","10983.55"
"1290","10972.6"
"1291","10962.5"
"1292","10961.5"
"1293","10980.95"
"1294","11030.64"
"1295","11102.36"
"1296","11176.61"
"1297","11234.17"
"1298","11265.34"
"1299","11269.44"
"1300","11246.26"
"1301","11201.26"
"1302","11147.91"
"1303","11100.31"
"1304","11069.8"
"1305","11061.76"
"1306","11080.79"
"1307","11126.05"
"1308","11178.63"
"1309","11215.91"
"1310","11219.88"
"1311","11196.34"
"1312","11158.71"
"1313","11119.61"
"1314","11085.27"
"1315","11058.86"
"1316","11043.17"
"1317","11036.37"
"1318","11033.44"
"1319","11029.56"
"1320","11026.49"
"1321","11032.55"
"1322","11056.05"
"1323","11091.4"
"1324","11113.49"
"1325","11095.89"
"1326","11032.7"
"1327","10958.98"
"1328","10914.61"
"1329","10919.85"
"1330","10939.13"
"1331","10927.06"
"1332","10852.69"
"1333","10744.23"
"1334","10644.97"
"1335","10577.9"
"1336","10447.24"
"1337","10114.15"
"1338","9465.81"
"1339","8610.332"
"1340","7766.787"
"1341","7143.365"
"1342","6799.94"
"1343","6695.58"
"1344","6788.172"
"1345","7050.716"
"1346","7469.885"
"1347","8031.533"
"1348","8679.727"
"1349","9308.663"
"1350","9810.579"
"1351","10141.87"
"1352","10359.21"
"1353","10527.91"
"1354","10687.6"
"1355","10825.42"
"1356","10922.09"
"1357","10968.15"
"1358","10980.44"
"1359","10980.21"
"1360","10983.99"
"1361","10991.68"
"1362","10999.55"
"1363","11004.7"
"1364","11008.23"
"1365","11012.36"
"1366","11019.07"
"1367","11028.83"
"1368","11041.57"
"1369","11056.94"
"1370","11072.65"
"1371","11085.49"
"1372","11092.05"
"1373","11087.36"
"1374","11065.49"
"1375","11022.4"
"1376","10979.48"
"1377","10976.28"
"1378","11049.23"
"1379","11171.5"
"1380","11261.56"
"1381","11239.42"
"1382","11108.68"
"1383","10959.71"
"1384","10885.02"
"1385","10909.16"
"1386","10972.75"
"1387","11011.94"
"1388","11000.86"
"1389","10969.09"
"1390","10950.38"
"1391","10959.88"
"1392","10980.83"
"1393","10993.38"
"1394","10987.16"
"1395","10970.87"
"1396","10955.43"
"1397","10946.33"
"1398","10936.35"
"1399","10916.47"
"1400","10884.56"
"1401","10856.92"
"1402","10852.91"
"1403","10880.25"
"1404","10910.6"
"1405","10908.71"
"1406","10856.85"
"1407","10798.99"
"1408","10792.68"
"1409","10873.9"
"1410","10992.87"
"1411","11078.48"
"1412","11079"
"1413","11029.17"
"1414","10987.71"
"1415","10999.16"
"1416","11037.53"
"1417","11055.12"
"1418","11014.02"
"1419","10929.52"
