,"Scan 00954"
"400","18403.15"
"401","18377.3"
"402","18294.57"
"403","18189.12"
"404","18094.85"
"405","18042.19"
"406","18033.26"
"407","18055.91"
"408","18097.95"
"409","18147.33"
"410","18192.64"
"411","18222.94"
"412","18227.41"
"413","18196.02"
"414","18134.61"
"415","18063.73"
"416","18004.33"
"417","17976.81"
"418","17986.05"
"419","18017.93"
"420","18057.27"
"421","18089.03"
"422","18103.63"
"423","18100.13"
"424","18078.37"
"425","18038.24"
"426","17982.98"
"427","17922.88"
"428","17869.04"
"429","17832.51"
"430","17819.86"
"431","17825.87"
"432","17843.39"
"433","17865.32"
"434","17885.46"
"435","17900.64"
"436","17908.34"
"437","17906.09"
"438","17892.44"
"439","17870.46"
"440","17844.44"
"441","17818.63"
"442","17796.78"
"443","17779.91"
"444","17768.15"
"445","17761.61"
"446","17759.76"
"447","17757.66"
"448","17748.59"
"449","17725.86"
"450","17684.37"
"451","17631.81"
"452","17582.17"
"453","17549.36"
"454","17545.37"
"455","17563.66"
"456","17587.09"
"457","17598.49"
"458","17582.4"
"459","17542.78"
"460","17496.38"
"461","17460.09"
"462","17449.15"
"463","17456.87"
"464","17460.11"
"465","17435.53"
"466","17361.88"
"467","17251.58"
"468","17145.12"
"469","17083.54"
"470","17105.37"
"471","17202.99"
"472","17326.59"
"473","17425.13"
"474","17449.83"
"475","17397.13"
"476","17308.22"
"477","17226.01"
"478","17191.74"
"479","17211.06"
"480","17251.89"
"481","17280.48"
"482","17264.35"
"483","17200.01"
"484","17116.39"
"485","17043.96"
"486","17012.23"
"487","17025.97"
"488","17061.27"
"489","17092.73"
"490","17095.6"
"491","17061.12"
"492","16999.56"
"493","16922.28"
"494","16840.42"
"495","16761.05"
"496","16686.3"
"497","16617.98"
"498","16557.87"
"499","16506.02"
"500","16460.47"
"501","16419.14"
"502","16379.94"
"503","16339.69"
"504","16293.9"
"505","16238.09"
"506","16167.93"
"507","16084.98"
"508","15997.51"
"509","15914.12"
"510","15843.25"
"511","15789.95"
"512","15755.5"
"513","15740.97"
"514","15747.22"
"515","15769.1"
"516","15795.2"
"517","15813.87"
"518","15813.99"
"519","15794.51"
"520","15764.27"
"521","15732.44"
"522","15707.8"
"523","15691.94"
"524","15679.99"
"525","15666.88"
"526","15647.79"
"527","15622.07"
"528","15592.43"
"529","15561.68"
"530","15532.61"
"531","15507.97"
"532","15490.5"
"533","15482.92"
"534","15487.16"
"535","15495.99"
"536","15496.23"
"537","15474.69"
"538","15420.22"
"539","15341.29"
"540","15257.45"
"541","15188.26"
"542","15150.88"
"543","15143.35"
"544","15154.48"
"545","15173.06"
"546","15189.1"
"547","15200.37"
"548","15207.82"
"549","15212.43"
"550","15214.93"
"551","15215"
"552","15211.95"
"553","15205.1"
"554","15193.54"
"555","15175.47"
"556","15148.86"
"557","15111.65"
"558","15064.5"
"559","15017.38"
"560","14982.27"
"561","14971.07"
"562","14988.77"
"563","15021.51"
"564","15052.24"
"565","15064.05"
"566","15049.59"
"567","15021.96"
"568","14996.83"
"569","14989.68"
"570","15004.01"
"571","15023.28"
"572","15029.13"
"573","15003.69"
"574","14945.18"
"575","14872.79"
"576","14806.98"
"577","14767.53"
"578","14759.75"
"579","14774.54"
"580","14802.21"
"581","14833.2"
"582","14859.22"
"583","14872.99"
"584","14867.26"
"585","14836.54"
"586","14792"
"587","14754.2"
"588","14743.76"
"589","14776.59"
"590","14837.54"
"591","14898.77"
"592","14932.48"
"593","14918.2"
"594","14869.17"
"595","14808.35"
"596","14758.64"
"597","14736.3"
"598","14736.5"
"599","14750.24"
"600","14768.54"
"601","14783.75"
"602","14791.06"
"603","14786.06"
"604","14764.43"
"605","14726.73"
"606","14680.99"
"607","14635.82"
"608","14599.69"
"609","14577.72"
"610","14571.49"
"611","14582.39"
"612","14611.18"
"613","14650.05"
"614","14684.9"
"615","14701.53"
"616","14688.16"
"617","14652.9"
"618","14613.56"
"619","14587.97"
"620","14589.31"
"621","14607.08"
"622","14623.25"
"623","14619.85"
"624","14586.06"
"625","14533.68"
"626","14479.01"
"627","14438.23"
"628","14419.14"
"629","14412.71"
"630","14407.96"
"631","14394.15"
"632","14370.56"
"633","14349.31"
"634","14343.35"
"635","14364.53"
"636","14407.37"
"637","14452.08"
"638","14478.51"
"639","14469.43"
"640","14432.87"
"641","14389.83"
"642","14361.37"
"643","14363.52"
"644","14387.6"
"645","14417.32"
"646","14436.42"
"647","14434.48"
"648","14417.63"
"649","14394.94"
"650","14375.41"
"651","14364.36"
"652","14360.9"
"653","14363.55"
"654","14370.76"
"655","14379.01"
"656","14382.82"
"657","14376.62"
"658","14355.98"
"659","14328.51"
"660","14309.04"
"661","14312.43"
"662","14348.56"
"663","14399.79"
"664","14439.13"
"665","14439.66"
"666","14388.77"
"667","14316.06"
"668","14258.87"
"669","14254.02"
"670","14310.96"
"671","14394.16"
"672","14464.03"
"673","14482.71"
"674","14446.2"
"675","14381.94"
"676","14318.54"
"677","14282"
"678","14276.1"
"679","14293.07"
"680","14325.07"
"681","14364.72"
"682","14406.59"
"683","14445.79"
"684","14477.47"
"685","14497.55"
"686","14503.72"
"687","14493.92"
"688","14466.31"
"689","14426.35"
"690","14388.24"
"691","14366.62"
"692","14374.39"
"693","14404.34"
"694","14436.35"
"695","14450.17"
"696","14430.75"
"697","14390.29"
"698","14349.87"
"699","14330.5"
"700","14343.03"
"701","14372.73"
"702","14400.85"
"703","14409.1"
"704","14393.42"
"705","14367.96"
"706","14348.06"
"707","14347.67"
"708","14364.75"
"709","14386.72"
"710","14400.84"
"711","14397.36"
"712","14381.8"
"713","14364.53"
"714","14355.89"
"715","14361.09"
"716","14373.27"
"717","14383.83"
"718","14384.43"
"719","14374.71"
"720","14363.42"
"721","14359.81"
"722","14371.93"
"723","14396.24"
"724","14422.67"
"725","14441.12"
"726","14444.4"
"727","14437.24"
"728","14427.45"
"729","14422.76"
"730","14426.05"
"731","14431.31"
"732","14431.6"
"733","14420.47"
"734","14400.31"
"735","14381.19"
"736","14373.46"
"737","14385.17"
"738","14409.99"
"739","14435.79"
"740","14450.47"
"741","14447.47"
"742","14435.18"
"743","14424.49"
"744","14426.01"
"745","14441.45"
"746","14461.83"
"747","14477.51"
"748","14480.11"
"749","14472.98"
"750","14465.9"
"751","14468.67"
"752","14487.3"
"753","14513.76"
"754","14536.86"
"755","14545.59"
"756","14539.86"
"757","14536.27"
"758","14552.85"
"759","14605.32"
"760","14681.42"
"761","14749.88"
"762","14779.16"
"763","14747.18"
"764","14674.21"
"765","14592.25"
"766","14533.12"
"767","14513.17"
"768","14521.41"
"769","14544.02"
"770","14567.84"
"771","14589.25"
"772","14611.83"
"773","14639.35"
"774","14673.99"
"775","14710.27"
"776","14740.37"
"777","14756.53"
"778","14758.4"
"779","14759.47"
"780","14774.74"
"781","14817.94"
"782","14883.95"
"783","14953.12"
"784","15005.44"
"785","15025.59"
"786","15020.98"
"787","15005.86"
"788","14994.38"
"789","14993.35"
"790","14996.48"
"791","14996.1"
"792","14985.29"
"793","14966.92"
"794","14950.91"
"795","14947.32"
"796","14962.5"
"797","14986.89"
