Frequency,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density
ramanShift,DM201,DM202,DM203,DM204,DM205,DM206,DM207,DM208,DM209,DM210,DM211,Ctrl01,Ctrl02,Ctrl03,Ctrl04,Ctrl05,Ctrl06,Ctrl07,Ctrl08,Ctrl09
0,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
1,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
2,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
3,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
4,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
5,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
6,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
7,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
8,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
9,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
10,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
11,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
12,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
13,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
14,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
15,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
16,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
17,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
18,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
19,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
20,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
21,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
22,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
23,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
24,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
25,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
26,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
27,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
28,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
29,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
30,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
31,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
32,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
33,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
34,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
35,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
36,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
37,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
38,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
39,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
40,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
41,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
42,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
43,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
44,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
45,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
46,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
47,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
48,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
49,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
