Frequency,Density
0,76.6
1,76.6
2,76.6
3,76.6
4,76.6
5,76.6
6,76.6
7,76.6
8,76.6
9,76.6
10,76.6
11,76.6
12,76.6
13,76.6
14,76.6
15,76.6
16,76.6
17,76.6
18,76.6
19,76.6
20,76.6
21,76.6
22,76.6
23,76.6
24,76.6
25,76.6
26,76.6
27,76.6
28,76.6
29,76.6
30,76.6
31,76.6
32,76.6
33,76.6
34,76.6
35,76.6
36,76.6
37,76.6
38,76.6
39,76.6
40,76.6
41,76.6
42,76.6
43,76.6
44,76.6
45,76.6
46,76.6
47,76.6
48,76.6
49,76.6
50,76.6
51,76.6
52,76.6
53,76.6
54,76.6
55,76.6
56,76.6
57,76.6
58,76.6
59,76.6
60,76.6
61,76.6
62,76.6
63,76.6
64,76.6
65,76.6
66,76.6
67,76.6
68,76.6
69,76.6
70,76.6
71,76.6
72,76.6
73,76.6
74,76.6
75,76.6
76,76.6
77,76.6
78,76.6
79,76.6
80,76.6
81,76.6
82,76.6
83,76.6
84,76.6
85,76.6
86,76.6
87,76.6
88,76.6
89,76.6
90,76.6
91,76.6
92,76.6
93,76.6
94,76.6
95,76.6
96,76.6
97,76.6
98,76.6
99,76.6
100,76.6
101,76.6
102,76.6
103,76.6
104,76.6
105,76.6
106,76.6
107,76.6
108,76.6
109,76.6
110,76.6
111,76.6
112,76.6
113,76.6
114,76.6
115,76.6
116,76.6
117,76.6
118,76.6
119,76.6
120,76.6
121,76.6
122,76.6
123,76.6
124,76.6
125,76.6
126,76.6
127,76.6
128,76.6
129,76.6
130,76.6
131,76.6
132,76.6
133,76.6
134,76.6
135,76.6
136,76.6
137,76.6
138,76.6
139,76.6
140,76.6
141,76.6
142,76.6
143,76.6
144,76.6
145,76.6
146,76.6
147,76.6
148,76.6
149,76.6
150,76.6
151,76.6
152,76.6
153,76.6
154,76.6
155,76.6
156,76.6
157,76.6
158,76.6
159,76.6
160,76.6
161,76.6
162,76.6
163,76.6
164,76.6
165,76.6
166,76.6
167,76.6
168,76.6
169,76.6
170,76.6
171,76.6
172,76.6
173,76.6
174,76.6
175,76.6
176,76.6
177,76.6
178,76.6
179,76.6
180,76.6
181,76.6
182,76.6
183,76.6
184,76.6
185,76.6
186,76.6
187,76.6
188,76.6
189,76.6
190,76.6
191,76.6
192,76.6
193,76.6
194,76.6
195,76.6
196,76.6
197,76.6
198,76.6
199,99.96728975
200,181.7387451
201,263.510199
202,289.5973511
203,292.1542114
204,294.1170349
205,291.7912536
206,289.4654663
207,288.5681397
208,288.8784241
209,289.1887207
210,288.4520569
211,287.6758911
212,286.538971
213,284.8304016
214,283.121814
215,283.8091614
216,285.0524963
217,286.6660278
218,289.4651733
219,292.264331
220,295.0127869
221,297.735791
222,299.8522827
223,296.1935303
224,292.5347839
225,291.4963135
226,292.8204712
227,294.1446289
228,295.170813
229,296.1840027
230,293.804071
231,286.1617126
232,278.5193665
233,276.489862
234,275.6315369
235,274.566803
236,272.9272217
237,271.2876587
238,270.2511414
239,269.4699463
240,268.5327942
241,266.6567871
242,264.7807861
243,266.1917175
244,269.9459351
245,273.497699
246,269.663031
247,265.8283478
248,263.9844299
249,264.3759552
250,264.7674683
251,261.8544586
252,258.6420715
253,255.8574158
254,253.8190918
255,251.780777
256,250.8896881
257,250.262143
258,250.1310059
259,251.3868347
260,252.6426636
261,252.999997
262,253.0000031
263,252.5887085
264,250.1526764
265,247.7166443
266,247.8789062
267,249.608728
268,251.3638214
269,253.4093536
270,255.4548828
271,255.3412872
272,253.3732758
273,251.4052643
274,251.4785523
275,251.5573242
276,250.4083344
277,247.8075043
278,245.2066681
279,247.6859528
280,250.6037567
281,252.4303314
282,252.5092377
283,252.5881409
284,251.4595062
285,250.1173157
286,250.5253967
287,254.7123383
288,258.8992889
289,258.9314301
290,257.8247864
291,258.3294831
292,263.5495484
293,268.7696228
294,268.4189392
295,265.9656555
296,264.0629578
297,264.3796936
298,264.6964417
299,265.5998962
300,266.7883728
301,267.8353882
302,268.0732239
303,268.3110596
304,268.5489868
305,268.786969
306,269.2245606
307,271.3676025
308,273.5106445
309,272.7739014
310,269.9942444
311,267.2091858
312,264.3484375
313,261.487674
314,257.0957123
315,251.450351
316,246.0742096
317,248.2222992
318,250.3703918
319,246.1358612
320,236.0259064
321,226.0648895
322,233.8708649
323,241.6768433
324,243.8953095
325,240.4682221
326,237.0411316
327,237.866684
328,238.7438934
329,238.8935577
330,238.2552094
331,237.616861
332,240.1651703
333,242.7999085
334,245.5476898
335,248.4236481
336,251.2996063
337,248.082785
338,244.6455872
339,243.0592499
340,243.6191254
341,244.1789978
342,242.582431
343,240.901825
344,242.8201416
345,248.9059357
346,254.9917236
347,251.4856964
348,247.6397675
349,246.3153625
350,247.8386017
351,249.3618439
352,247.0537415
353,244.6472046
354,243.9413422
355,245.0650513
356,246.1887634
357,241.8269653
358,237.4097748
359,235.5614258
360,236.2846649
361,237.0061493
362,237.5690033
363,238.1318512
364,238.020871
365,237.2967804
366,236.5271271
367,234.5950744
368,232.6630279
369,197.2145325
370,134.7080704
371,81.12576142
372,145.442221
373,209.7586792
374,237.4822449
375,239.6596497
376,241.6263519
377,241.8684326
378,242.1105072
379,241.1312805
380,239.4357483
381,237.26969
382,232.5032349
383,227.7367828
384,225.9261383
385,225.5219635
386,224.8709534
387,223.2532989
388,221.6356506
389,220.4312439
390,219.3791443
391,219.8394897
392,224.6172027
393,229.3949127
394,227.2649597
395,223.2946838
396,221.6679565
397,224.9919769
398,228.3160004
399,231.7803131
400,235.2685425
401,236.421286
402,233.9050384
403,231.3887878
404,228.4204162
405,225.4153747
406,225.8669342
407,230.3365204
408,234.8074463
409,240.2554291
410,245.7034088
411,250.5801392
