Frequency,Density
0,136.1666667
1,136.1666667
2,136.1666667
3,136.1666667
4,136.1666667
5,136.1666667
6,136.1666667
7,136.1666667
8,136.1666667
9,136.1666667
10,136.1666667
11,136.1666667
12,136.1666667
13,136.1666667
14,136.1666667
15,136.1666667
16,136.1666667
17,136.1666667
18,136.1666667
19,136.1666667
20,136.1666667
21,136.1666667
22,136.1666667
23,136.1666667
24,136.1666667
25,136.1666667
26,136.1666667
27,136.1666667
28,136.1666667
29,136.1666667
30,136.1666667
31,136.1666667
32,136.1666667
33,136.1666667
34,136.1666667
35,136.1666667
36,136.1666667
37,136.1666667
38,136.1666667
39,136.1666667
40,136.1666667
41,136.1666667
42,136.1666667
43,136.1666667
44,136.1666667
45,136.1666667
46,136.1666667
47,136.1666667
48,136.1666667
49,136.1666667
50,136.1666667
51,136.1666667
52,136.1666667
53,136.1666667
54,136.1666667
55,136.1666667
56,136.1666667
57,136.1666667
58,136.1666667
59,136.1666667
60,136.1666667
61,136.1666667
62,136.1666667
63,136.1666667
64,136.1666667
65,136.1666667
66,136.1666667
67,136.1666667
68,136.1666667
69,136.1666667
70,136.1666667
71,136.1666667
72,136.1666667
73,136.1666667
74,136.1666667
75,136.1666667
76,136.1666667
77,136.1666667
78,136.1666667
79,136.1666667
80,136.1666667
81,136.1666667
82,136.1666667
83,136.1666667
84,136.1666667
85,136.1666667
86,136.1666667
87,136.1666667
88,136.1666667
89,136.1666667
90,136.1666667
91,136.1666667
92,136.1666667
93,136.1666667
94,136.1666667
95,136.1666667
96,136.1666667
97,136.1666667
98,136.1666667
99,136.1666667
100,136.1666667
101,136.1666667
102,136.1666667
103,136.1666667
104,136.1666667
105,136.1666667
106,136.1666667
107,136.1666667
108,136.1666667
109,136.1666667
110,136.1666667
111,136.1666667
112,136.1666667
113,136.1666667
114,136.1666667
115,136.1666667
116,136.1666667
117,136.1666667
118,136.1666667
119,136.1666667
120,136.1666667
121,136.1666667
122,136.1666667
123,136.1666667
124,136.1666667
125,136.1666667
126,136.1666667
127,136.1666667
128,136.1666667
129,136.1666667
130,136.1666667
131,136.1666667
132,136.1666667
133,136.1666667
134,136.1666667
135,136.1666667
136,136.1666667
137,136.1666667
138,136.1666667
139,136.1666667
140,136.1666667
141,136.1666667
142,136.1666667
143,136.1666667
144,136.1666667
145,136.1666667
146,136.1666667
147,136.1666667
148,136.1666667
149,136.1666667
150,136.1666667
151,136.1666667
152,136.1666667
153,136.1666667
154,136.1666667
155,136.1666667
156,136.1666667
157,136.1666667
158,136.1666667
159,136.1666667
160,136.1666667
161,136.1666667
162,136.1666667
163,136.1666667
164,136.1666667
165,136.1666667
166,136.1666667
167,136.1666667
168,136.1666667
169,136.1666667
170,136.1666667
171,136.1666667
172,136.1666667
173,136.1666667
174,136.1666667
175,136.1666667
176,136.1666667
177,136.1666667
178,136.1666667
179,136.1666667
180,136.1666667
181,136.1666667
182,136.1666667
183,136.1666667
184,136.1666667
185,136.1666667
186,136.1666667
187,136.1666667
188,136.1666667
189,136.1666667
190,136.1666667
191,136.1666667
192,136.1666667
193,136.1666667
194,136.1666667
195,136.1666667
196,136.1666667
197,136.1666667
198,136.1666667
199,157.3727773
