,"Scan 00911"
"400","7677.528"
"401","7664.392"
"402","7650.916"
"403","7637.742"
"404","7625.509"
"405","7614.797"
"406","7605.696"
"407","7598.05"
"408","7591.71"
"409","7586.49"
"410","7581.84"
"411","7576.958"
"412","7571.036"
"413","7563.379"
"414","7555.398"
"415","7550.461"
"416","7551.99"
"417","7563.253"
"418","7582.959"
"419","7604.213"
"420","7619.818"
"421","7622.697"
"422","7610.356"
"423","7587.654"
"424","7560.08"
"425","7533.084"
"426","7512.007"
"427","7502.013"
"428","7508.207"
"429","7535.65"
"430","7584.399"
"431","7641.06"
"432","7690.076"
"433","7716.005"
"434","7709.435"
"435","7681.548"
"436","7647.886"
"437","7623.887"
"438","7620.558"
"439","7629.857"
"440","7638.593"
"441","7633.669"
"442","7605.566"
"443","7563.985"
"444","7525.083"
"445","7504.915"
"446","7516.133"
"447","7548.992"
"448","7584.562"
"449","7604.005"
"450","7591.223"
"451","7551.787"
"452","7501.892"
"453","7457.703"
"454","7433.61"
"455","7427.169"
"456","7426.28"
"457","7418.806"
"458","7393.896"
"459","7355.422"
"460","7316.967"
"461","7292.191"
"462","7293.598"
"463","7318.013"
"464","7350.575"
"465","7376.228"
"466","7380.751"
"467","7362.552"
"468","7330.549"
"469","7293.934"
"470","7261.558"
"471","7236.724"
"472","7217.656"
"473","7202.401"
"474","7189.09"
"475","7177.467"
"476","7168.888"
"477","7164.765"
"478","7166.442"
"479","7173.672"
"480","7184.525"
"481","7196.999"
"482","7209.119"
"483","7219.437"
"484","7227.07"
"485","7231.18"
"486","7230.945"
"487","7226.024"
"488","7216.631"
"489","7203.011"
"490","7185.383"
"491","7163.174"
"492","7134.863"
"493","7098.883"
"494","7053.782"
"495","7001.648"
"496","6948.848"
"497","6901.961"
"498","6867.392"
"499","6846.664"
"500","6835.443"
"501","6829.065"
"502","6822.862"
"503","6811.142"
"504","6787.003"
"505","6743.501"
"506","6674.157"
"507","6585.37"
"508","6498.396"
"509","6435.196"
"510","6416.879"
"511","6443.873"
"512","6493.753"
"513","6543.024"
"514","6568.894"
"515","6563.14"
"516","6532.779"
"517","6485.511"
"518","6429.116"
"519","6374.186"
"520","6334.049"
"521","6322.081"
"522","6350.462"
"523","6409.641"
"524","6470.493"
"525","6503.346"
"526","6480.521"
"527","6404.949"
"528","6304.622"
"529","6208.121"
"530","6142.444"
"531","6114.194"
"532","6114.995"
"533","6136.164"
"534","6168.987"
"535","6203.883"
"536","6230.73"
"537","6239.444"
"538","6221.313"
"539","6180.628"
"540","6129.032"
"541","6078.192"
"542","6038.986"
"543","6016.309"
"544","6012.146"
"545","6028.448"
"546","6065.416"
"547","6111.573"
"548","6150.718"
"549","6166.711"
"550","6147.45"
"551","6102.429"
"552","6048.392"
"553","6002.008"
"554","5976.61"
"555","5971.157"
"556","5980.696"
"557","6000.297"
"558","6024.758"
"559","6047.878"
"560","6063.265"
"561","6064.563"
"562","6049.836"
"563","6029.264"
"564","6015.037"
"565","6019.254"
"566","6046.515"
"567","6085.357"
"568","6122.282"
"569","6143.949"
"570","6144.473"
"571","6130.41"
"572","6109.49"
"573","6089.276"
"574","6072.454"
"575","6055.377"
"576","6033.988"
"577","6004.559"
"578","5970.563"
"579","5942.665"
"580","5931.794"
"581","5947.747"
"582","5984.268"
"583","6022.943"
"584","6045.129"
"585","6034.778"
"586","6000.57"
"587","5965.15"
"588","5951.229"
"589","5976.959"
"590","6030.358"
"591","6087.081"
"592","6122.845"
"593","6119.671"
"594","6088.61"
"595","6049.113"
"596","6020.542"
"597","6015.965"
"598","6028.374"
"599","6046.765"
"600","6060.204"
"601","6061.699"
"602","6052.94"
"603","6036.774"
"604","6016.023"
"605","5992.453"
"606","5966.227"
"607","5937.368"
"608","5906.052"
"609","5876.426"
"610","5856.872"
"611","5855.944"
"612","5881.181"
"613","5926.263"
"614","5974.722"
"615","6009.916"
"616","6017.53"
"617","6002.082"
"618","5977.35"
"619","5957.131"
"620","5952.055"
"621","5956.73"
"622","5960.671"
"623","5953.425"
"624","5928.676"
"625","5893.25"
"626","5856.575"
"627","5828.018"
"628","5813.482"
"629","5811.921"
"630","5821.45"
"631","5840.16"
"632","5864.763"
"633","5890.189"
"634","5911.272"
"635","5923.168"
"636","5926.251"
"637","5925.188"
"638","5924.758"
"639","5929.061"
"640","5936.328"
"641","5941.765"
"642","5940.567"
"643","5929.367"
"644","5911.873"
"645","5893.975"
"646","5881.546"
"647","5878.868"
"648","5885.713"
"649","5901.046"
"650","5923.81"
"651","5950.668"
"652","5974.43"
"653","5987.555"
"654","5982.892"
"655","5961.963"
"656","5935.091"
