Frequency,Density
-31.722347,11494
-29.886687,13261
-28.051868,15499
-26.217889,17968
-24.384749,21031
-22.552448,24541
-20.720985,28028
-18.890361,31910
-17.060575,35900
-15.231626,41592
-13.403514,42249
-11.576239,47088
-9.749799,47294
-7.924195,45213
-6.099426,36755
-4.275492,36360
-2.452392,40884
-0.630127,36417
1.191306,33278
3.011906,32129
4.831672,37706
6.650607,40510
8.46871,31003
10.285982,25764
12.102423,22481
13.918034,20318
15.732815,18948
17.546766,18558
19.359888,18080
21.172181,15725
22.983647,12619
24.794284,11072
26.604094,10769
28.413077,10596
30.221233,9471
32.028563,7557
33.835068,5716
35.640747,5018
37.445602,4540
39.249632,4637
41.052838,4203
42.855221,4190
44.656781,3783
46.457517,3800
48.257432,3447
50.056525,3348
51.854796,3149
53.652246,3251
55.448876,3332
57.244685,3427
59.039675,3586
60.833846,3839
62.627197,3685
64.41973,3984
66.211446,4066
68.002343,4273
69.792423,4405
71.581687,4886
73.370134,5024
75.157765,5413
76.944581,5827
78.730581,6555
80.515767,7281
82.300139,7982
84.083697,9244
85.866441,10399
87.648372,11227
89.429491,13041
91.209797,14597
92.989292,16996
94.767976,19572
96.545848,22790
98.32291,27077
100.099162,32727
101.874604,27569
103.649237,31688
105.423061,31706
107.196077,36709
108.968284,35362
110.739684,34518
112.510277,32762
114.280063,32605
116.049042,31996
117.817216,35941
119.584584,43075
121.351147,38413
123.116905,36556
124.881859,37726
126.646009,28700
128.409356,41615
130.171899,40592
131.93364,38034
133.694578,27331
135.454715,34506
137.21405,33133
138.972584,29200
140.730317,43609
142.48725,36095
144.243384,25423
145.998718,34832
147.753252,28974
149.506989,34956
151.259927,36427
153.012067,42803
154.76341,33178
156.513956,40039
158.263705,35914
160.012659,36537
161.760816,30125
163.508178,36281
165.254745,33445
167.000518,36947
168.745496,38246
170.489681,35374
172.233072,35900
173.975671,42714
175.717476,28231
177.45849,37031
179.198712,29543
180.938142,35798
182.676782,29819
184.414631,36965
186.15169,33897
187.887959,28691
189.623439,39811
191.35813,30717
193.092032,34854
194.825147,33712
196.557473,33097
198.289012,34895
200.019764,33122
201.74973,31619
203.478909,35504
205.207303,35570
206.934911,37439
208.661735,38327
210.387773,31883
212.113028,31172
213.837499,30637
215.561186,34251
217.28409,34629
219.006212,32369
220.727552,32764
222.44811,37542
224.167886,37107
225.886881,33092
227.605096,34466
229.32253,31664
231.039185,31677
232.75506,30179
234.470156,23940
236.184473,32609
237.898012,28646
239.610773,28986
241.322757,36955
243.033964,36180
244.744393,28436
246.454047,34039
248.162924,31333
249.871026,31203
251.578353,34254
253.284905,30804
254.990683,40213
256.695686,31776
258.399916,35235
260.103373,36071
261.806057,35754
263.507968,38768
265.209107,32644
266.909475,31779
268.609071,32905
270.307897,28293
272.005952,33692
273.703236,34736
275.399751,33477
277.095497,31934
278.790473,38078
280.484681,30634
282.178121,33622
283.870793,38376
285.562697,30109
287.253835,39987
288.944205,38245
290.633809,30269
292.322648,31814
294.010721,35938
295.698028,38103
297.384571,39770
299.070349,37510
300.755364,39039
302.439614,34451
304.123102,34509
305.805826,36693
307.487788,34825
309.168988,34695
310.849426,39589
312.529103,32672
314.208018,32534
315.886173,21810
317.563568,35811
319.240203,36872
320.916079,39734
322.591195,35963
324.265552,38081
325.939151,34525
327.611993,34848
329.284076,35113
330.955402,36211
332.625972,41778
334.295785,36892
335.964841,34196
337.633142,31468
339.300688,37969
340.967479,29751
342.633515,37718
344.298796,35474
345.963324,36030
347.627098,34976
349.29012,39965
350.952388,35129
352.613904,36803
354.274668,33755
355.93468,33378
357.593941,37936
359.252451,38132
360.910211,30753
362.56722,36295
364.22348,33003
365.87899,30112
367.533751,40570
369.187763,34782
370.841027,33281
372.493543,36159
374.145311,42134
375.796332,37257
377.446607,22383
379.096134,42018
380.744916,33995
382.392952,31233
384.040242,37186
385.686787,46475
387.332588,36583
388.977645,39631
390.621957,35918
392.265526,41479
393.908351,31051
395.550434,39875
397.191775,37415
398.832373,28271
