Frequence,Intensity
-31.722347,11646
-29.886687,13663
-28.051868,15858
-26.217889,18193
-24.384749,21570
-22.552448,24862
-20.720985,28676
-18.890361,32454
-17.060575,36149
-15.231626,41668
-13.403514,42250
-11.576239,47089
-9.749799,47295
-7.924195,45214
-6.099426,36756
-4.275492,36361
-2.452392,40885
-0.630127,36418
1.191306,33279
3.011906,32130
4.831672,37707
6.650607,40511
8.46871,31076
10.285982,25892
12.102423,23108
13.918034,20784
15.732815,19154
17.546766,19309
19.359888,17994
21.172181,16021
22.983647,13124
24.794284,11275
26.604094,10879
28.413077,10719
30.221233,9077
32.028563,7416
33.835068,5774
35.640747,5122
37.445602,4874
39.249632,4613
41.052838,4323
42.855221,4215
44.656781,4286
46.457517,3965
48.257432,3635
50.056525,3358
51.854796,3490
53.652246,3411
55.448876,3455
57.244685,3504
59.039675,3439
60.833846,3886
62.627197,3740
64.41973,4186
66.211446,4239
68.002343,4412
69.792423,4311
71.581687,4840
73.370134,4946
75.157765,4992
76.944581,5821
78.730581,6474
80.515767,7384
82.300139,8074
84.083697,9294
85.866441,10423
87.648372,11189
89.429491,13013
91.209797,14642
92.989292,17117
94.767976,19300
96.545848,22935
98.32291,26897
100.099162,32944
101.874604,27570
103.649237,31689
105.423061,31707
107.196077,36710
108.968284,35363
110.739684,34519
112.510277,32763
114.280063,32606
116.049042,31997
117.817216,35942
119.584584,43076
121.351147,38414
123.116905,36557
124.881859,37727
126.646009,28701
128.409356,41616
130.171899,40593
131.93364,38035
133.694578,27332
135.454715,34507
137.21405,33134
138.972584,29201
140.730317,43610
142.48725,36096
144.243384,25424
145.998718,34833
147.753252,28975
149.506989,34957
151.259927,36428
153.012067,42804
154.76341,33179
156.513956,40040
158.263705,35915
160.012659,36538
161.760816,30126
163.508178,36282
165.254745,33446
167.000518,36948
168.745496,38247
170.489681,35375
172.233072,35901
173.975671,42715
175.717476,28232
177.45849,37032
179.198712,29544
180.938142,35799
182.676782,29820
184.414631,36966
186.15169,33898
187.887959,28692
189.623439,39812
191.35813,30718
193.092032,34855
194.825147,33713
196.557473,33098
198.289012,34896
200.019764,33123
201.74973,31620
203.478909,35505
205.207303,35571
206.934911,37440
208.661735,38328
210.387773,31884
212.113028,31173
213.837499,30638
215.561186,34252
217.28409,34630
219.006212,32370
220.727552,32765
222.44811,37543
224.167886,37108
225.886881,33093
227.605096,34467
229.32253,31665
231.039185,31678
232.75506,30180
234.470156,23941
236.184473,32610
237.898012,28647
239.610773,28987
241.322757,36956
243.033964,36181
244.744393,28437
246.454047,34040
248.162924,31334
249.871026,31204
251.578353,34255
253.284905,30805
254.990683,40214
256.695686,31777
258.399916,35236
260.103373,36072
261.806057,35755
263.507968,38769
265.209107,32645
266.909475,31780
268.609071,32906
270.307897,28294
272.005952,33693
273.703236,34737
275.399751,33478
277.095497,31935
278.790473,38079
280.484681,30635
282.178121,33623
283.870793,38377
285.562697,30110
287.253835,39988
288.944205,38246
290.633809,30270
292.322648,31815
294.010721,35939
295.698028,38104
297.384571,39771
299.070349,37511
300.755364,39040
302.439614,34452
304.123102,34510
305.805826,36694
307.487788,34826
309.168988,34696
310.849426,39590
312.529103,32673
314.208018,32535
315.886173,21811
317.563568,35812
319.240203,36873
320.916079,39735
322.591195,35964
324.265552,38082
325.939151,34526
327.611993,34849
329.284076,35114
330.955402,36212
332.625972,41779
334.295785,36893
335.964841,34197
337.633142,31469
339.300688,37970
340.967479,29752
342.633515,37719
344.298796,35475
345.963324,36031
347.627098,34977
349.29012,39966
350.952388,35130
352.613904,36804
354.274668,33756
355.93468,33379
357.593941,37937
359.252451,38133
360.910211,30754
362.56722,36296
364.22348,33004
365.87899,30113
367.533751,40571
369.187763,34783
370.841027,33282
372.493543,36160
374.145311,42135
375.796332,37258
377.446607,22384
379.096134,42019
380.744916,33996
382.392952,31234
384.040242,37187
385.686787,46476
387.332588,36584
388.977645,39632
390.621957,35919
