Waveshift,Intensity
-31.722347,9617
-29.886687,10836
-28.051868,12306
-26.217889,13974
-24.384749,16068
-22.552448,18486
-20.720985,20622
-18.890361,23581
-17.060575,26522
-15.231626,29681
-13.403514,34387
-11.576239,39616
-9.749799,47754
-7.924195,45657
-6.099426,37146
-4.275492,37102
-2.452392,41520
-0.630127,37216
1.191306,33976
3.011906,32718
4.831672,38378
6.650607,41225
8.46871,27859
10.285982,23839
12.102423,21210
13.918034,19184
15.732815,17853
17.546766,17779
19.359888,16779
21.172181,15286
22.983647,12923
24.794284,11214
26.604094,10897
28.413077,10819
30.221233,9030
32.028563,8129
33.835068,7119
35.640747,6642
37.445602,5845
39.249632,6051
41.052838,5580
42.855221,5733
44.656781,5569
46.457517,5732
48.257432,5041
50.056525,5506
51.854796,6698
53.652246,5720
55.448876,6041
57.244685,5858
59.039675,6188
60.833846,7018
62.627197,6523
64.41973,6646
66.211446,6776
68.002343,7371
69.792423,7675
71.581687,7023
73.370134,8975
75.157765,8571
76.944581,9539
78.730581,10231
80.515767,10813
82.300139,12419
84.083697,13053
85.866441,13921
87.648372,14943
89.429491,16004
91.209797,19561
92.989292,20516
94.767976,22522
96.545848,25731
98.32291,31555
100.099162,36238
101.874604,34130
103.649237,37708
105.423061,37972
107.196077,42798
108.968284,41777
110.739684,41284
112.510277,39883
114.280063,40011
116.049042,40142
117.817216,43600
119.584584,49465
121.351147,46169
123.116905,45273
124.881859,46250
126.646009,39591
128.409356,50132
130.171899,49506
131.93364,47998
133.694578,40474
135.454715,46315
137.21405,45851
138.972584,43386
140.730317,53536
142.48725,49190
144.243384,42519
145.998718,49335
147.753252,45830
149.506989,50131
151.259927,51462
153.012067,55345
154.76341,50421
156.513956,54540
158.263705,52801
160.012659,53700
161.760816,50802
163.508178,54324
165.254745,53605
167.000518,55158
168.745496,56175
170.489681,55278
172.233072,55857
173.975671,58670
175.717476,53426
177.45849,57187
179.198712,54808
180.938142,57278
182.676782,55534
184.414631,58184
186.15169,57491
187.887959,56095
189.623439,59650
191.35813,57296
193.092032,58689
194.825147,58529
196.557473,58607
198.289012,59290
200.019764,58933
201.74973,58798
203.478909,59914
205.207303,60183
206.934911,60676
208.661735,60936
210.387773,59092
212.113028,59794
213.837499,59883
215.561186,60717
217.28409,60845
219.006212,60671
220.727552,60866
222.44811,61767
224.167886,61738
225.886881,61226
227.605096,61501
229.32253,61176
231.039185,61293
232.75506,61184
234.470156,60320
236.184473,61768
237.898012,61307
239.610773,61430
241.322757,62575
243.033964,62501
244.744393,61601
246.454047,62357
248.162924,62148
249.871026,62181
251.578353,62564
253.284905,62262
254.990683,63296
256.695686,62499
258.399916,62920
260.103373,63025
261.806057,63078
263.507968,63363
265.209107,62877
266.909475,62785
268.609071,63036
270.307897,62582
272.005952,63155
273.703236,63270
275.399751,63196
277.095497,63113
278.790473,63644
280.484681,63117
282.178121,63356
283.870793,63705
285.562697,41002
287.253835,40619
288.944205,38994
290.633809,30953
292.322648,32430
294.010721,36580
295.698028,38677
297.384571,40310
299.070349,38422
300.755364,39800
302.439614,34963
304.123102,35152
305.805826,37376
307.487788,35536
309.168988,35561
310.849426,40401
312.529103,33513
314.208018,33313
315.886173,23385
317.563568,37194
319.240203,38210
320.916079,40274
322.591195,36248
324.265552,38748
325.939151,34996
327.611993,35244
329.284076,35798
330.955402,36717
332.625972,42527
334.295785,37371
335.964841,34421
337.633142,31654
339.300688,38530
340.967479,30173
342.633515,37915
344.298796,36048
345.963324,36830
347.627098,35346
349.29012,40482
350.952388,35787
352.613904,37419
354.274668,34200
355.93468,33972
357.593941,38348
359.252451,38597
360.910211,31669
362.56722,36909
364.22348,33295
365.87899,30917
367.533751,41218
369.187763,35252
370.841027,33894
372.493543,37095
374.145311,42698
375.796332,37970
377.446607,23283
379.096134,42534
380.744916,34765
382.392952,31788
384.040242,37950
385.686787,47181
387.332588,37142
388.977645,39814
390.621957,36541
392.265526,42028
393.908351,31336
395.550434,40094
397.191775,37978
398.832373,28746
400.472229,39697
402.111344,43451
403.749718,43148
405.387351,39300
407.024244,30168
408.660397,37918
410.295811,40345
411.930485,41323
413.56442,40191
415.197617,47907
416.830076,25912
418.461796,40804
420.09278,40707
421.723026,36895
423.352536,29905
424.981309,32543
426.609346,37867
428.236648,35841
429.863214,41733
431.489046,44228
433.114143,29737
434.738505,40033
436.362134,33016
437.98503,31586
439.607192,35997
441.228621,33174
442.849318,38588
444.469283,31297
446.088516,37546
447.707018,32864
