Frequent,Density
-31.722347,17193
-29.886687,19745
-28.051868,22438
-26.217889,25694
-24.384749,30503
-22.552448,34855
-20.720985,39071
-18.890361,44869
-17.060575,37412
-15.231626,48308
-13.403514,43068
-11.576239,47654
-9.749799,47701
-7.924195,45696
-6.099426,37482
-4.275492,37192
-2.452392,41259
-0.630127,36951
1.191306,34420
3.011906,33281
4.831672,38356
6.650607,41236
8.46871,43671
10.285982,35636
12.102423,34183
13.918034,31328
15.732815,28667
17.546766,28152
19.359888,26574
21.172181,22766
22.983647,17992
24.794284,16224
26.604094,15685
28.413077,15367
30.221233,13231
32.028563,10186
33.835068,8109
35.640747,7065
37.445602,6862
39.249632,6032
41.052838,5824
42.855221,5537
44.656781,5627
46.457517,5361
48.257432,5188
50.056525,4825
51.854796,5239
53.652246,4524
55.448876,4565
57.244685,4578
59.039675,4407
60.833846,4982
62.627197,4903
64.41973,4957
66.211446,5212
68.002343,5194
69.792423,5412
71.581687,5964
73.370134,6555
75.157765,6695
76.944581,7319
78.730581,7732
80.515767,8586
82.300139,9442
84.083697,10640
85.866441,11604
87.648372,12440
89.429491,14167
91.209797,16147
92.989292,17435
94.767976,20137
96.545848,23666
98.32291,27538
100.099162,33178
101.874604,28484
103.649237,32732
105.423061,32587
107.196077,37549
108.968284,36239
110.739684,35428
112.510277,33682
114.280063,33228
116.049042,32759
117.817216,36750
119.584584,43620
121.351147,38967
123.116905,37394
124.881859,38508
126.646009,29497
128.409356,42340
130.171899,41242
131.93364,38837
133.694578,28132
135.454715,35157
137.21405,34104
138.972584,30063
140.730317,43979
142.48725,37060
144.243384,26627
145.998718,35780
147.753252,30038
149.506989,35734
151.259927,37270
153.012067,43426
154.76341,33746
156.513956,40637
158.263705,36445
160.012659,37445
161.760816,31125
163.508178,37097
165.254745,34375
167.000518,37563
168.745496,38975
170.489681,36241
172.233072,36525
173.975671,43302
175.717476,28912
177.45849,37810
179.198712,30823
180.938142,36665
182.676782,31037
184.414631,37646
186.15169,34707
187.887959,29972
189.623439,40531
191.35813,31625
193.092032,35829
194.825147,34454
196.557473,33898
198.289012,35926
200.019764,33729
201.74973,32093
203.478909,36295
205.207303,36519
206.934911,38175
208.661735,39023
210.387773,33699
212.113028,31820
213.837499,31700
215.561186,34942
217.28409,35276
219.006212,33244
220.727552,33894
222.44811,38216
224.167886,37739
225.886881,33916
227.605096,35492
229.32253,32591
231.039185,32516
232.75506,30980
234.470156,24618
236.184473,33522
237.898012,29642
239.610773,29862
241.322757,37796
243.033964,36903
244.744393,29719
246.454047,34869
248.162924,32113
249.871026,32230
251.578353,34966
253.284905,31684
254.990683,40829
256.695686,32797
258.399916,35933
260.103373,37025
261.806057,36578
263.507968,39619
265.209107,33889
266.909475,32525
268.609071,33713
270.307897,29297
272.005952,34772
273.703236,35499
275.399751,34351
277.095497,33065
278.790473,38959
280.484681,31708
282.178121,34200
283.870793,39072
285.562697,31119
287.253835,40848
288.944205,39150
290.633809,31248
292.322648,32662
294.010721,36650
295.698028,38928
297.384571,40265
299.070349,38558
300.755364,39783
302.439614,35321
304.123102,35234
305.805826,37587
307.487788,36061
309.168988,35672
310.849426,40327
312.529103,33351
314.208018,33192
315.886173,23417
317.563568,36550
319.240203,37744
320.916079,40354
322.591195,36810
324.265552,38965
325.939151,35227
327.611993,35634
329.284076,35887
330.955402,36793
332.625972,42437
334.295785,37514
335.964841,34781
337.633142,32370
339.300688,38581
340.967479,30889
