Frequent,Density
-31.722347,12003
-29.886687,14206
-28.051868,16301
-26.217889,18556
-24.384749,22052
-22.552448,24861
-20.720985,28927
-18.890361,33306
-17.060575,36775
-15.231626,43118
-13.403514,42498
-11.576239,47285
-9.749799,47211
-7.924195,45433
-6.099426,36929
-4.275492,36427
-2.452392,40986
-0.630127,36549
1.191306,33596
3.011906,32426
4.831672,37565
6.650607,40511
8.46871,36087
10.285982,30357
12.102423,26920
13.918034,23657
15.732815,21814
17.546766,21876
19.359888,20993
21.172181,18190
22.983647,14405
24.794284,12745
26.604094,12576
28.413077,11855
30.221233,10773
32.028563,8627
33.835068,7048
35.640747,5604
37.445602,5366
39.249632,4876
41.052838,4913
42.855221,4554
44.656781,4300
46.457517,4247
48.257432,4096
50.056525,3816
51.854796,4255
53.652246,3694
55.448876,3497
57.244685,3700
59.039675,4016
60.833846,4220
62.627197,3969
64.41973,4618
66.211446,4794
68.002343,4846
69.792423,4848
71.581687,5317
73.370134,5627
75.157765,6097
76.944581,6463
78.730581,7444
80.515767,8025
82.300139,8904
84.083697,10072
85.866441,11454
87.648372,12338
89.429491,13964
91.209797,15878
92.989292,18602
94.767976,21055
96.545848,24837
98.32291,29018
100.099162,34875
101.874604,27687
103.649237,31861
105.423061,31850
107.196077,36940
108.968284,35701
110.739684,34733
112.510277,32582
114.280063,32337
116.049042,31926
117.817216,36086
119.584584,43170
121.351147,38615
123.116905,36864
124.881859,37835
126.646009,28649
128.409356,41921
130.171899,40641
131.93364,37940
133.694578,27319
135.454715,34680
137.21405,33270
138.972584,29448
140.730317,43662
142.48725,36273
144.243384,25540
145.998718,34995
147.753252,29404
149.506989,34867
151.259927,36642
153.012067,42800
154.76341,33091
156.513956,40112
158.263705,35575
160.012659,37061
161.760816,30378
163.508178,36569
165.254745,33470
167.000518,37029
168.745496,38602
170.489681,35453
172.233072,35734
173.975671,42997
175.717476,28194
177.45849,37299
179.198712,29838
180.938142,35819
182.676782,30376
184.414631,37057
186.15169,33917
187.887959,28703
189.623439,39853
191.35813,30852
193.092032,35004
194.825147,33782
196.557473,33259
198.289012,35010
200.019764,32822
201.74973,31478
203.478909,35519
205.207303,35803
206.934911,37827
208.661735,38635
210.387773,32839
212.113028,31291
213.837499,31059
215.561186,34229
217.28409,34431
219.006212,32377
220.727552,32951
222.44811,37495
224.167886,37182
225.886881,33231
227.605096,34900
229.32253,31545
231.039185,31907
232.75506,30327
234.470156,23671
236.184473,32890
237.898012,28860
239.610773,28993
241.322757,37385
243.033964,36457
244.744393,28709
246.454047,34224
248.162924,31480
249.871026,31396
251.578353,34408
253.284905,30870
254.990683,40480
256.695686,31974
258.399916,35394
260.103373,35972
261.806057,35859
263.507968,38756
265.209107,32767
266.909475,31787
268.609071,32872
270.307897,28451
272.005952,34162
273.703236,34797
275.399751,33767
277.095497,32314
278.790473,38315
280.484681,30829
282.178121,33672
283.870793,38153
285.562697,30321
287.253835,40405
288.944205,38464
290.633809,30382
292.322648,31776
294.010721,36090
295.698028,38196
297.384571,39648
299.070349,37633
300.755364,39142
302.439614,34479
304.123102,34556
305.805826,36852
307.487788,35112
309.168988,35125
310.849426,39845
312.529103,32740
314.208018,32516
315.886173,22030
317.563568,35942
319.240203,37018
320.916079,39594
322.591195,36000
324.265552,38345
325.939151,34529
327.611993,34779
329.284076,35133
330.955402,36254
332.625972,41898
334.295785,36876
335.964841,34131
337.633142,31534
339.300688,38151
340.967479,29865
342.633515,37710
344.298796,35803
345.963324,36365
347.627098,35033
349.29012,40032
350.952388,35677
352.613904,36807
354.274668,34178
355.93468,33786
357.593941,37684
359.252451,38062
360.910211,31167
362.56722,36251
364.22348,32875
365.87899,30252
367.533751,40655
369.187763,35129
370.841027,33637
372.493543,36485
374.145311,41952
375.796332,37511
377.446607,22346
379.096134,42248
380.744916,34056
382.392952,31464
384.040242,37375
385.686787,46571
387.332588,36748
388.977645,39566
390.621957,36166
392.265526,41679
393.908351,31027
395.550434,39968
397.191775,37805
398.832373,28639
400.472229,39281
402.111344,43195
403.749718,42888
405.387351,39094
407.024244,29837
408.660397,37502
410.295811,40141
411.930485,41362
413.56442,39699
415.197617,47568
416.830076,25891
418.461796,40518
420.09278,40195
421.723026,36599
423.352536,29576
424.981309,31917
426.609346,37901
428.236648,35767
429.863214,41573
431.489046,43902
433.114143,29698
434.738505,40132
436.362134,32713
437.98503,31466
439.607192,35747
441.228621,32863
442.849318,38302
444.469283,31062
446.088516,37399
447.707018,32359
449.324789,27965
450.941829,35557
452.558139,31913
454.173719,38465
455.78857,6371
457.402691,36348
459.016083,38334
460.628747,37850
462.240682,39110
463.85189,39015
465.46237,36252
467.072124,39347
468.68115,31361
470.28945,39581
471.897024,33363
473.503872,33824
475.109995,39687
476.715393,34986
478.320066,40196
479.924015,34249
481.52724,36408
483.129741,35257
484.731519,32927
486.332575,38446
487.932907,26918
489.532517,37272
491.131406,30634
492.729573,30697
494.327019,36635
495.923744,36777
497.519748,28602
499.115033,35521
500.709597,39050
502.303442,38233
503.896568,36478
505.488976,34729
507.080665,38028
508.671635,37457
510.261889,29034
511.851424,36273
513.440243,32772
515.028345,38198
516.615731,39002
518.202401,36781
519.788355,34950
521.373593,41862
522.958117,35783
524.541926,29187
526.125021,36072
527.707402,30211
529.28907,36863
530.870024,24867
532.450265,30263
534.029794,35214
535.60861,34135
537.186715,41947
538.764108,32131
540.340789,29239
541.91676,38473
543.492021,39351
545.066571,33187
546.640411,34649
548.213542,31909
549.785964,30840
551.357676,39911
552.928681,35205
554.498977,44160
556.068565,32300
557.637446,41014
559.20562,43529
560.773087,40146
562.339847,35896
563.905901,33180
565.47125,32039
567.035893,30756
568.599831,31941
570.163064,36768
571.725593,36152
573.287417,37769
574.848538,41384
576.408955,35518
577.968669,33060
579.52768,35864
581.085989,31288
582.643596,38958
584.200501,36851
585.756704,32086
587.312207,41952
588.867008,38740
590.42111,38703
