Wave shift,Intensity
-31.722347,9129
-29.886687,9878
-28.051868,11424
-26.217889,12965
-24.384749,15017
-22.552448,17371
-20.720985,19511
-18.890361,22050
-17.060575,25024
-15.231626,28140
-13.403514,32756
-11.576239,37907
-9.749799,45777
-7.924195,45546
-6.099426,37035
-4.275492,36991
-2.452392,41409
-0.630127,37105
1.191306,33865
3.011906,32607
4.831672,38267
6.650607,41114
8.46871,28206
10.285982,23540
12.102423,20710
13.918034,19582
15.732815,18211
17.546766,17447
19.359888,16450
21.172181,15799
22.983647,13339
24.794284,11553
26.604094,10862
28.413077,10871
30.221233,9351
32.028563,8460
33.835068,7267
35.640747,6825
37.445602,5981
39.249632,6270
41.052838,5790
42.855221,6212
44.656781,5799
46.457517,5818
48.257432,5291
50.056525,5373
51.854796,6844
53.652246,5784
55.448876,6219
57.244685,5963
59.039675,6096
60.833846,6936
62.627197,6608
64.41973,6747
66.211446,6893
68.002343,7370
69.792423,7822
71.581687,7114
73.370134,9034
75.157765,8742
76.944581,9725
78.730581,10293
80.515767,10703
82.300139,12417
84.083697,13265
85.866441,13852
87.648372,15135
89.429491,16044
91.209797,19334
92.989292,20321
94.767976,22346
96.545848,24961
98.32291,30832
100.099162,35035
101.874604,34019
103.649237,37597
105.423061,37861
107.196077,42687
108.968284,41666
110.739684,41173
112.510277,39772
114.280063,39900
116.049042,40031
117.817216,43489
119.584584,49354
121.351147,46058
123.116905,45162
124.881859,46139
126.646009,39480
128.409356,50021
130.171899,49395
131.93364,47887
133.694578,40363
135.454715,46204
137.21405,45740
138.972584,43275
140.730317,53425
142.48725,49079
144.243384,42408
145.998718,49224
147.753252,45719
149.506989,50020
151.259927,51351
153.012067,55234
154.76341,50310
156.513956,54429
158.263705,52690
160.012659,53589
161.760816,50691
163.508178,54213
165.254745,53494
167.000518,55047
168.745496,56064
170.489681,55167
172.233072,55746
173.975671,58559
175.717476,53315
177.45849,57076
179.198712,54697
180.938142,57167
182.676782,55423
184.414631,58073
186.15169,57380
187.887959,55984
189.623439,59539
191.35813,57185
193.092032,58578
194.825147,58418
196.557473,58496
198.289012,59179
200.019764,58822
201.74973,58687
203.478909,59803
205.207303,60072
206.934911,60565
208.661735,60825
210.387773,58981
212.113028,59683
213.837499,59772
215.561186,60606
217.28409,60734
219.006212,60560
220.727552,60755
222.44811,61656
224.167886,61627
225.886881,61115
227.605096,61390
229.32253,61065
231.039185,61182
232.75506,61073
234.470156,60209
236.184473,61657
237.898012,61196
239.610773,61319
241.322757,62464
243.033964,62390
244.744393,61490
246.454047,62246
248.162924,62037
249.871026,62070
251.578353,62453
253.284905,62151
254.990683,63185
256.695686,62388
258.399916,62809
260.103373,62914
261.806057,62967
263.507968,63252
265.209107,62766
266.909475,62674
268.609071,62925
270.307897,62471
272.005952,63044
273.703236,63159
275.399751,63085
277.095497,63002
278.790473,63533
280.484681,63006
282.178121,63245
283.870793,63594
285.562697,40891
287.253835,40508
288.944205,38883
290.633809,30842
292.322648,32319
294.010721,36469
295.698028,38566
297.384571,40199
299.070349,38311
300.755364,39689
302.439614,34852
304.123102,35041
305.805826,37265
307.487788,35425
309.168988,35450
310.849426,40290
312.529103,33402
314.208018,33202
315.886173,23274
317.563568,37083
319.240203,38099
320.916079,40163
322.591195,36137
324.265552,38637
325.939151,34885
327.611993,35133
329.284076,35687
330.955402,36606
332.625972,42416
334.295785,37260
335.964841,34310
337.633142,31543
339.300688,38419
340.967479,30062
342.633515,37804
344.298796,35937
345.963324,36719
347.627098,35235
349.29012,40371
350.952388,35676
352.613904,37308
354.274668,34089
355.93468,33861
357.593941,38237
359.252451,38486
360.910211,31558
362.56722,36798
364.22348,33184
365.87899,30806
367.533751,41107
369.187763,35141
370.841027,33783
372.493543,36984
374.145311,42587
375.796332,37859
377.446607,23172
379.096134,42423
380.744916,34654
382.392952,31677
384.040242,37839
385.686787,47070
387.332588,37031
388.977645,39703
390.621957,36430
392.265526,41917
393.908351,31225
395.550434,39983
397.191775,37867
398.832373,28635
400.472229,39586
402.111344,43340
403.749718,43037
405.387351,39189
407.024244,30057
