Waveshift,Intensity
-31.722347,9755
-29.886687,11133
-28.051868,12504
-26.217889,14389
-24.384749,17131
-22.552448,19293
-20.720985,22198
-18.890361,25266
-17.060575,28418
-15.231626,32731
-13.403514,37932
-11.576239,44084
-9.749799,47771
-7.924195,45552
-6.099426,37466
-4.275492,37067
-2.452392,41407
-0.630127,37049
1.191306,33871
3.011906,33036
4.831672,38485
6.650607,41261
8.46871,24621
10.285982,20737
12.102423,18856
13.918034,17193
15.732815,16173
17.546766,15994
19.359888,15302
21.172181,12752
22.983647,11048
24.794284,9518
26.604094,9239
28.413077,8673
30.221233,7409
32.028563,6005
33.835068,4826
35.640747,4705
37.445602,4044
39.249632,4060
41.052838,3750
42.855221,3587
44.656781,3262
46.457517,3555
48.257432,3479
50.056525,3101
51.854796,3273
53.652246,3519
55.448876,3155
57.244685,3265
59.039675,3578
60.833846,3700
62.627197,3755
64.41973,3961
66.211446,3902
68.002343,4102
69.792423,4244
71.581687,4573
73.370134,4768
75.157765,5143
76.944581,5866
78.730581,6383
80.515767,7216
82.300139,7746
84.083697,8911
85.866441,9906
87.648372,11107
89.429491,12332
91.209797,14397
92.989292,16071
94.767976,18897
96.545848,22171
98.32291,25850
100.099162,31526
101.874604,28646
103.649237,32617
105.423061,32669
107.196077,37383
108.968284,36309
110.739684,35360
112.510277,33738
114.280063,33096
116.049042,33123
117.817216,36722
119.584584,43637
121.351147,39188
123.116905,37565
124.881859,38437
126.646009,29608
128.409356,42358
130.171899,41215
131.93364,38906
133.694578,28154
135.454715,35153
137.21405,34074
138.972584,29943
140.730317,44106
142.48725,37030
144.243384,26762
145.998718,35654
147.753252,30159
149.506989,35702
151.259927,37346
153.012067,43302
154.76341,33688
156.513956,40767
158.263705,36642
160.012659,37620
161.760816,31200
163.508178,36995
165.254745,34807
167.000518,37520
168.745496,38837
170.489681,36305
172.233072,36687
173.975671,43141
175.717476,29407
177.45849,38034
179.198712,30728
180.938142,36555
182.676782,31058
184.414631,37811
186.15169,34822
187.887959,29983
189.623439,40423
191.35813,31446
193.092032,35969
194.825147,34538
196.557473,33907
198.289012,35715
200.019764,33916
201.74973,32478
203.478909,35988
205.207303,36391
206.934911,38441
208.661735,39025
210.387773,33200
212.113028,31923
213.837499,31545
215.561186,34966
217.28409,35650
219.006212,33175
220.727552,33767
222.44811,38280
224.167886,38006
225.886881,33914
227.605096,35191
229.32253,32511
231.039185,32713
232.75506,30942
234.470156,24458
236.184473,33417
237.898012,29697
239.610773,30042
241.322757,37824
243.033964,37096
244.744393,29652
246.454047,35146
248.162924,32108
249.871026,32117
251.578353,34979
253.284905,31765
254.990683,40730
256.695686,32725
258.399916,36014
260.103373,36829
261.806057,36602
263.507968,39426
265.209107,33692
266.909475,32682
268.609071,33648
270.307897,29226
272.005952,34758
273.703236,35559
275.399751,34248
277.095497,32903
278.790473,38878
280.484681,31730
282.178121,34221
283.870793,39085
285.562697,31167
287.253835,40710
288.944205,39122
290.633809,31442
292.322648,32820
294.010721,36857
295.698028,38908
297.384571,40296
299.070349,38292
300.755364,39815
302.439614,35218
304.123102,35159
305.805826,37429
307.487788,35865
309.168988,35507
310.849426,40392
312.529103,33537
314.208018,33446
315.886173,23378
317.563568,36681
319.240203,37821
320.916079,40212
322.591195,36834
324.265552,38988
325.939151,35596
327.611993,35326
329.284076,35973
330.955402,37096
332.625972,42469
334.295785,37423
335.964841,34934
337.633142,32168
339.300688,38709
340.967479,30956
342.633515,38221
344.298796,36180
345.963324,37007
347.627098,35962
349.29012,40791
350.952388,36110
352.613904,37873
354.274668,34663
355.93468,34168
357.593941,38593
359.252451,38872
360.910211,31578
362.56722,37159
364.22348,33847
365.87899,30918
367.533751,41103
369.187763,35788
370.841027,34165
372.493543,37241
374.145311,42498
375.796332,38265
377.446607,23589
379.096134,42638
380.744916,35026
382.392952,32084
384.040242,38120
385.686787,46968
387.332588,37370
388.977645,40452
390.621957,36803
392.265526,42197
393.908351,31955
395.550434,40324
397.191775,38385
398.832373,29317
400.472229,39952
402.111344,43715
403.749718,43463
405.387351,39624
407.024244,30780
408.660397,38453
410.295811,40781
411.930485,41839
413.56442,40335
415.197617,48015
416.830076,26884
418.461796,41230
420.09278,40833
421.723026,37249
423.352536,30473
424.981309,33003
426.609346,38204
428.236648,36384
429.863214,41836
431.489046,44264
433.114143,30335
434.738505,40589
436.362134,33583
437.98503,31941
439.607192,36485
441.228621,33487
442.849318,39040
444.469283,32021
446.088516,37942
447.707018,33340
449.324789,28709
450.941829,35981
452.558139,32564
454.173719,38750
455.78857,8073
457.402691,36962
459.016083,39116
460.628747,38513
462.240682,39922
463.85189,39750
465.46237,36964
467.072124,40015
468.68115,32180
470.28945,40110
471.897024,34432
473.503872,34729
475.109995,40487
476.715393,35679
478.320066,40662
479.924015,34835
481.52724,36994
483.129741,36083
484.731519,33403
486.332575,39208
487.932907,28007
489.532517,37840
491.131406,31675
492.729573,31525
494.327019,37301
495.923744,37555
497.519748,29639
499.115033,36053
500.709597,39642
502.303442,38738
503.896568,37117
505.488976,35461
507.080665,38904
508.671635,38494
510.261889,29870
511.851424,37064
513.440243,33484
515.028345,38675
516.615731,39446
518.202401,37626
519.788355,35567
521.373593,42545
522.958117,36319
524.541926,29856
526.125021,36784
527.707402,30689
529.28907,37550
530.870024,25971
532.450265,30953
534.029794,36071
535.60861,35130
537.186715,42414
538.764108,32951
540.340789,30336
541.91676,39213
543.492021,39936
545.066571,33976
546.640411,35343
548.213542,32229
549.785964,31718
551.357676,40509
552.928681,35805
554.498977,44707
556.068565,32972
557.637446,41466
559.20562,44340
560.773087,40542
562.339847,36665
563.905901,34105
565.47125,32668
567.035893,31599
568.599831,32922
570.163064,37394
571.725593,36972
573.287417,38143
574.848538,41977
576.408955,36028
577.968669,33728
579.52768,36571
581.085989,31993
582.643596,39798
584.200501,37477
585.756704,32757
587.312207,42320
588.867008,39290
590.42111,39354
591.974511,34780
593.527212,35832
595.079214,31165
596.630516,39324
598.18112,39954
599.731025,25241
601.280232,36457
602.828742,39644
604.376554,37277
605.923668,39260
607.470086,33682
609.015808,40407
610.560833,36787
612.105162,39200
613.648796,36189
615.191735,35314
616.733979,33665
618.275528,39629
619.816383,32963
621.356544,31694
622.896012,37808
624.434787,38968
625.972868,33556
627.510257,34325
629.046954,38615
630.582959,33603
632.118272,33769
633.652894,38390
635.186825,37678
636.720066,38021
638.252616,33739
639.784476,37887
641.315647,31681
642.846128,30282
644.37592,33456
645.905024,33629
647.433439,28590
648.961166,36805
650.488206,36773
652.014558,31423
653.540223,32974
655.065201,36044
656.589493,36228
658.113099,35444
659.636019,35736
661.158253,35286
662.679803,35398
664.200668,35273
665.720848,35291
667.240344,35148
668.759156,34584
670.277284,34937
671.79473,34330
673.311492,34391
674.827572,34177
676.34297,33935
677.857686,33802
679.37172,34191
680.885072,28735
682.397744,33176
683.909735,33477
685.421046,33389
686.931677,33039
688.441628,31297
689.950899,33050
691.459492,32872
692.967406,32848
694.474641,32793
695.981198,32623
697.487078,17582
698.992279,32390
700.496804,32483
702.000652,32316
703.503823,30135
705.006318,30868
706.508137,31720
708.00928,32051
709.509748,32108
711.009541,31946
712.50866,31733
714.007104,31735
715.504874,30415
717.00197,31269
718.498393,31493
719.994142,31420
721.489219,31297
722.983624,31190
724.477356,31368
725.970416,30284
727.462805,31068
728.954522,30910
730.445569,26151
731.935944,30664
733.42565,30995
734.914685,30689
736.403051,30812
737.890748,30559
739.377775,30445
740.864133,28559
742.349823,30382
743.834845,30095
745.319199,30241
746.802886,30146
748.285905,30148
749.768257,30343
751.249943,30065
752.730962,30330
754.211315,29875
755.691003,29314
757.170025,29787
758.648382,29364
760.126075,29611
761.603102,29163
763.079466,29556
764.555166,29135
766.030202,29042
767.504575,28885
768.978285,28619
770.451332,28987
771.923717,28827
773.39544,28854
774.866501,28774
776.3369,28569
777.806639,28523
779.275716,28427
