Wave shift,Intensity
-31.722347,11198
-29.886687,12737
-28.051868,14258
-26.217889,16433
-24.384749,19518
-22.552448,21910
-20.720985,25177
-18.890361,27710
-17.060575,31387
-15.231626,35783
-13.403514,41292
-11.576239,47829
-9.749799,47881
-7.924195,45662
-6.099426,37576
-4.275492,37177
-2.452392,41517
-0.630127,37159
1.191306,33981
3.011906,33146
4.831672,38595
6.650607,41371
8.46871,28786
10.285982,24537
12.102423,22045
13.918034,20248
15.732815,18838
17.546766,18913
19.359888,17897
21.172181,15103
22.983647,12910
24.794284,11103
26.604094,10473
28.413077,9763
30.221233,8720
32.028563,6923
33.835068,5822
35.640747,5549
37.445602,4812
39.249632,4781
41.052838,4170
42.855221,4520
44.656781,4061
46.457517,4134
48.257432,3889
50.056525,3734
51.854796,3786
53.652246,3823
55.448876,3734
57.244685,3925
59.039675,4048
60.833846,4234
62.627197,4282
64.41973,4263
66.211446,4463
68.002343,4332
69.792423,4764
71.581687,4807
73.370134,5320
75.157765,5616
76.944581,6418
78.730581,6716
80.515767,7766
82.300139,8121
84.083697,9509
85.866441,10425
87.648372,11252
89.429491,13006
91.209797,14845
92.989292,16395
94.767976,19187
96.545848,22642
98.32291,26242
100.099162,31759
101.874604,28756
103.649237,32727
105.423061,32779
107.196077,37493
108.968284,36419
110.739684,35470
112.510277,33848
114.280063,33206
116.049042,33233
117.817216,36832
119.584584,43747
121.351147,39298
123.116905,37675
124.881859,38547
126.646009,29718
128.409356,42468
130.171899,41325
131.93364,39016
133.694578,28264
135.454715,35263
137.21405,34184
138.972584,30053
140.730317,44216
142.48725,37140
144.243384,26872
145.998718,35764
147.753252,30269
149.506989,35812
151.259927,37456
153.012067,43412
154.76341,33798
156.513956,40877
158.263705,36752
160.012659,37730
161.760816,31310
163.508178,37105
165.254745,34917
167.000518,37630
168.745496,38947
170.489681,36415
172.233072,36797
173.975671,43251
175.717476,29517
177.45849,38144
179.198712,30838
180.938142,36665
182.676782,31168
184.414631,37921
186.15169,34932
187.887959,30093
189.623439,40533
191.35813,31556
193.092032,36079
194.825147,34648
196.557473,34017
198.289012,35825
200.019764,34026
201.74973,32588
203.478909,36098
205.207303,36501
206.934911,38551
208.661735,39135
210.387773,33310
212.113028,32033
213.837499,31655
215.561186,35076
217.28409,35760
219.006212,33285
220.727552,33877
222.44811,38390
224.167886,38116
225.886881,34024
227.605096,35301
229.32253,32621
231.039185,32823
232.75506,31052
234.470156,24568
236.184473,33527
237.898012,29807
239.610773,30152
241.322757,37934
243.033964,37206
244.744393,29762
246.454047,35256
248.162924,32218
249.871026,32227
251.578353,35089
253.284905,31875
254.990683,40840
256.695686,32835
258.399916,36124
260.103373,36939
261.806057,36712
263.507968,39536
265.209107,33802
266.909475,32792
268.609071,33758
270.307897,29336
272.005952,34868
273.703236,35669
275.399751,34358
277.095497,33013
278.790473,38988
280.484681,31840
282.178121,34331
283.870793,39195
285.562697,31277
287.253835,40820
288.944205,39232
290.633809,31552
292.322648,32930
294.010721,36967
295.698028,39018
297.384571,40406
299.070349,38402
300.755364,39925
302.439614,35328
304.123102,35269
305.805826,37539
307.487788,35975
309.168988,35617
310.849426,40502
312.529103,33647
314.208018,33556
315.886173,23488
317.563568,36791
319.240203,37931
320.916079,40322
322.591195,36944
324.265552,39098
325.939151,35706
327.611993,35436
329.284076,36083
330.955402,37206
332.625972,42579
334.295785,37533
335.964841,35044
337.633142,32278
339.300688,38819
340.967479,31066
342.633515,38331
344.298796,36290
345.963324,37117
347.627098,36072
349.29012,40901
350.952388,36220
352.613904,37983
354.274668,34773
355.93468,34278
357.593941,38703
359.252451,38982
360.910211,31688
362.56722,37269
364.22348,33957
365.87899,31028
367.533751,41213
369.187763,35898
370.841027,34275
372.493543,37351
374.145311,42608
375.796332,38375
377.446607,23699
379.096134,42748
380.744916,35136
382.392952,32194
384.040242,38230
385.686787,47078
387.332588,37480
388.977645,40562
390.621957,36913
392.265526,42307
393.908351,32065
395.550434,40434
397.191775,38495
398.832373,29427
400.472229,40062
402.111344,43825
403.749718,43573
405.387351,39734
407.024244,30890
408.660397,38563
410.295811,40891
411.930485,41949
413.56442,40445
415.197617,48125
416.830076,26994
418.461796,41340
420.09278,40943
421.723026,37359
423.352536,30583
424.981309,33113
426.609346,38314
428.236648,36494
429.863214,41946
431.489046,44374
433.114143,30445
434.738505,40699
436.362134,33693
437.98503,32051
439.607192,36595
441.228621,33597
