Frequency,Intensity
-31.722347,12014
-29.886687,13759
-28.051868,16318
-26.217889,18432
-24.384749,22161
-22.552448,25546
-20.720985,29000
-18.890361,33214
-17.060575,36521
-15.231626,43046
-13.403514,42223
-11.576239,47062
-9.749799,47268
-7.924195,45187
-6.099426,36729
-4.275492,36334
-2.452392,40858
-0.630127,36391
1.191306,33252
3.011906,32103
4.831672,37680
6.650607,40484
8.46871,28834
10.285982,23938
12.102423,21247
13.918034,19792
15.732815,18482
17.546766,18510
19.359888,17470
21.172181,15153
22.983647,12391
24.794284,10892
26.604094,10396
28.413077,9582
30.221233,8746
32.028563,6908
33.835068,5391
35.640747,4887
37.445602,4284
39.249632,4350
41.052838,4175
42.855221,4094
44.656781,3799
46.457517,3653
48.257432,3608
50.056525,3123
51.854796,3112
53.652246,3332
55.448876,3290
57.244685,3207
59.039675,3392
60.833846,3507
62.627197,3619
64.41973,3840
66.211446,4121
68.002343,4177
69.792423,4096
71.581687,4790
73.370134,4797
75.157765,4985
76.944581,5834
78.730581,6407
80.515767,7290
82.300139,7968
84.083697,9327
85.866441,10180
87.648372,11236
89.429491,12638
91.209797,14287
92.989292,16886
94.767976,19271
96.545848,22593
98.32291,26706
100.099162,32547
101.874604,27543
103.649237,31662
105.423061,31680
107.196077,36683
108.968284,35336
110.739684,34492
112.510277,32736
114.280063,32579
116.049042,31970
117.817216,35915
119.584584,43049
121.351147,38387
123.116905,36530
124.881859,37700
126.646009,28674
128.409356,41589
130.171899,40566
131.93364,38008
133.694578,27305
135.454715,34480
137.21405,33107
138.972584,29174
140.730317,43583
142.48725,36069
144.243384,25397
145.998718,34806
147.753252,28948
149.506989,34930
151.259927,36401
153.012067,42777
154.76341,33152
156.513956,40013
158.263705,35888
160.012659,36511
161.760816,30099
163.508178,36255
165.254745,33419
167.000518,36921
168.745496,38220
170.489681,35348
172.233072,35874
173.975671,42688
175.717476,28205
177.45849,37005
179.198712,29517
180.938142,35772
182.676782,29793
184.414631,36939
186.15169,33871
187.887959,28665
189.623439,39785
191.35813,30691
193.092032,34828
194.825147,33686
196.557473,33071
198.289012,34869
200.019764,33096
201.74973,31593
203.478909,35478
205.207303,35544
206.934911,37413
208.661735,38301
210.387773,31857
212.113028,31146
213.837499,30611
215.561186,34225
217.28409,34603
219.006212,32343
220.727552,32738
222.44811,37516
224.167886,37081
225.886881,33066
227.605096,34440
229.32253,31638
231.039185,31651
232.75506,30153
234.470156,23914
236.184473,32583
237.898012,28620
239.610773,28960
241.322757,36929
243.033964,36154
244.744393,28410
246.454047,34013
248.162924,31307
249.871026,31177
251.578353,34228
253.284905,30778
254.990683,40187
256.695686,31750
258.399916,35209
260.103373,36045
261.806057,35728
263.507968,38742
265.209107,32618
266.909475,31753
268.609071,32879
270.307897,28267
272.005952,33666
273.703236,34710
275.399751,33451
277.095497,31908
278.790473,38052
280.484681,30608
282.178121,33596
283.870793,38350
285.562697,30083
287.253835,39961
288.944205,38219
290.633809,30243
292.322648,31788
294.010721,35912
295.698028,38077
297.384571,39744
299.070349,37484
300.755364,39013
302.439614,34425
304.123102,34483
305.805826,36667
307.487788,34799
309.168988,34669
310.849426,39563
312.529103,32646
314.208018,32508
315.886173,21784
317.563568,35785
319.240203,36846
320.916079,39708
322.591195,35937
324.265552,38055
325.939151,34499
327.611993,34822
329.284076,35087
330.955402,36185
332.625972,41752
334.295785,36866
335.964841,34170
337.633142,31442
339.300688,37943
340.967479,29725
342.633515,37692
344.298796,35448
345.963324,36004
347.627098,34950
349.29012,39939
350.952388,35103
352.613904,36777
354.274668,33729
355.93468,33352
357.593941,37910
359.252451,38106
360.910211,30727
362.56722,36269
364.22348,32977
365.87899,30086
367.533751,40544
369.187763,34756
370.841027,33255
372.493543,36133
374.145311,42108
375.796332,37231
377.446607,22357
379.096134,41992
380.744916,33969
382.392952,31207
384.040242,37160
385.686787,46449
387.332588,36557
388.977645,39605
390.621957,35892
392.265526,41453
393.908351,31025
395.550434,39849
397.191775,37389
398.832373,28245
400.472229,39173
402.111344,43011
403.749718,42787
405.387351,39079
407.024244,29683
408.660397,37575
410.295811,39926
411.930485,40966
413.56442,39770
415.197617,47458
416.830076,25656
418.461796,40588
420.09278,39966
421.723026,36466
423.352536,29428
424.981309,31523
426.609346,37403
428.236648,35682
429.863214,41218
431.489046,43695
433.114143,29570
434.738505,39790
436.362134,32566
437.98503,31248
439.607192,35608
441.228621,32644
442.849318,38390
444.469283,30738
446.088516,37091
447.707018,32383
449.324789,27907
450.941829,35202
452.558139,31700
454.173719,38228
455.78857,6194
457.402691,36284
459.016083,37974
460.628747,37783
462.240682,39275
463.85189,38868
465.46237,35979
467.072124,39182
468.68115,31346
470.28945,39522
471.897024,33459
473.503872,33656
475.109995,39732
476.715393,34904
478.320066,40188
479.924015,34280
481.52724,36197
483.129741,35219
484.731519,32687
486.332575,38383
487.932907,26797
489.532517,37145
491.131406,30594
492.729573,30510
494.327019,36536
495.923744,36671
497.519748,28321
499.115033,35160
500.709597,39054
502.303442,37887
503.896568,36248
505.488976,34755
507.080665,38163
508.671635,37320
510.261889,28772
511.851424,36245
513.440243,32458
515.028345,37930
516.615731,38811
518.202401,36669
519.788355,34789
521.373593,41640
522.958117,35536
524.541926,28876
526.125021,35999
527.707402,29721
529.28907,36599
530.870024,24863
532.450265,30101
534.029794,35010
535.60861,34279
537.186715,41644
538.764108,31998
540.340789,29403
541.91676,38570
543.492021,39202
545.066571,33033
546.640411,34824
548.213542,31616
549.785964,30656
551.357676,39704
552.928681,34865
554.498977,44281
556.068565,31869
557.637446,40743
559.20562,43531
560.773087,39733
562.339847,35675
563.905901,33089
565.47125,31594
567.035893,30766
568.599831,31847
570.163064,36850
571.725593,35911
573.287417,37250
574.848538,41226
576.408955,35212
577.968669,33122
579.52768,35892
581.085989,31072
582.643596,39136
584.200501,36743
585.756704,31890
587.312207,41751
588.867008,38547
590.42111,38559
591.974511,33980
593.527212,34924
595.079214,30234
596.630516,38502
598.18112,39368
599.731025,24069
601.280232,35759
602.828742,38600
604.376554,36350
605.923668,38387
607.470086,32423
609.015808,41134
610.560833,36001
612.105162,38410
613.648796,35300
615.191735,34378
616.733979,32712
618.275528,42941
619.816383,32080
621.356544,30901
622.896012,36762
624.434787,38271
625.972868,32721
627.510257,33273
629.046954,38403
630.582959,32592
632.118272,32838
633.652894,40429
635.186825,36655
636.720066,37258
638.252616,32865
639.784476,39766
641.315647,30773
642.846128,29230
644.37592,32432
645.905024,32691
647.433439,27620
648.961166,40295
650.488206,40189
652.014558,30155
653.540223,32068
655.065201,35279
656.589493,36969
658.113099,34825
659.636019,35218
661.158253,34337
662.679803,37942
664.200668,35387
665.720848,38232
667.240344,37872
668.759156,34617
670.277284,33870
671.79473,37321
673.311492,35099
674.827572,36679
676.34297,36845
677.857686,33196
679.37172,36532
680.885072,27820
682.397744,35055
683.909735,35983
685.421046,33409
686.931677,35575
688.441628,30129
689.950899,35965
691.459492,35442
692.967406,35388
694.474641,35320
695.981198,35403
697.487078,16039
698.992279,35296
700.496804,35251
702.000652,34617
703.503823,28889
705.006318,29892
706.508137,34927
708.00928,32061
709.509748,34992
711.009541,34305
712.50866,34229
714.007104,30923
715.504874,29313
717.00197,34481
718.498393,33835
719.994142,34527
721.489219,34119
722.983624,33359
724.477356,33741
725.970416,29200
727.462805,33487
728.954522,31732
730.445569,25126
731.935944,33434
733.42565,32835
734.914685,33405
736.403051,33009
737.890748,33062
739.377775,32956
740.864133,27294
742.349823,32195
743.834845,32339
745.319199,33118
746.802886,32853
748.285905,32919
749.768257,32566
751.249943,32412
752.730962,32712
754.211315,32082
755.691003,32442
757.170025,32424
758.648382,29176
760.126075,31769
761.603102,31934
763.079466,32258
764.555166,31807
766.030202,31857
767.504575,30769
768.978285,31652
770.451332,31560
771.923717,31867
773.39544,31547
774.866501,31499
776.3369,31085
777.806639,31011
779.275716,31238
780.744134,30408
782.21189,29636
783.678987,30003
785.145425,29535
786.611203,29966
788.076322,29731
789.540782,29482
791.004583,27897
792.467727,28928
793.930213,28544
795.392041,27851
796.853212,28266
798.313726,27949
799.773584,27813
801.232785,27715
802.69133,27793
804.14922,27128
805.606454,27475
807.063032,27159
808.518956,27224
809.974226,27048
811.428841,26609
812.882802,26465
814.33611,26335
815.788764,26161
817.240766,26067
818.692114,26070
820.14281,24708
821.592854,25789
823.042246,25567
824.490986,25567
825.939075,24940
827.386514,25682
828.833301,24920
830.279438,25083
831.724925,24582
833.169762,24625
834.61395,25004
836.057488,24703
837.500378,24492
838.942619,24900
840.384212,24722
841.825156,25127
843.265453,24728
844.705102,16384
846.144105,24815
847.58246,24680
849.020169,24424
850.457231,24273
851.893648,24317
853.329418,24176
854.764544,24353
856.199024,23795
857.632859,24037
859.06605,23853
860.498597,23825
861.9305,23887
863.361759,23506
864.792374,23331
866.222347,22979
867.651677,22905
869.080364,23021
870.508409,22782
871.935812,22535
873.362574,22251
874.788694,22022
876.214173,22175
877.639011,21914
879.063209,21906
880.486766,21773
881.909684,21700
883.331962,21529
884.753601,21342
886.174601,21438
887.594961,21460
889.014684,21307
890.433768,21570
891.852214,21512
893.270023,21270
894.687194,21833
896.103729,21854
897.519626,22006
898.934887,21633
900.349512,21690
901.763501,21485
903.176854,21194
904.589572,21382
906.001655,20782
907.413103,20652
908.823917,20799
910.234096,20558
911.643642,20128
913.052554,20440
914.460832,19903
915.868477,20629
917.27549,20156
918.68187,20355
920.087618,20031
921.492734,19870
922.897218,19774
924.301071,19337
925.704292,18465
927.106883,18708
928.508844,18630
929.910174,18364
931.310874,18178
932.710944,18369
934.110385,17779
935.509197,17914
936.907379,17899
938.304934,17892
939.70186,17389
941.098158,17206
942.493828,17470
943.88887,17273
945.283286,17033
946.677075,17247
948.070236,17498
949.462772,16916
950.854681,17202
952.245965,17096
953.636623,16971
955.026656,16878
956.416064,16741
957.804847,16900
959.193006,16551
960.58054,16433
961.967451,16532
963.353738,16663
964.739402,16555
966.124442,16730
967.50886,16546
968.892656,16321
970.275829,16201
971.65838,16579
973.04031,16460
974.421618,16208
975.802305,16749
977.182371,16457
978.561816,16653
979.940641,16297
981.318846,16741
982.696432,16344
984.073398,16147
985.449744,16638
986.825472,16703
988.200581,16083
989.575072,16585
990.948944,16576
992.322199,16802
993.694836,16828
995.066855,16716
996.438258,17144
997.809044,16933
999.179213,16806
1000.548766,16577
1001.917703,16833
1003.286024,16957
1004.65373,16925
1006.020821,16928
1007.387297,17153
1008.753158,16241
1010.118405,14424
1011.483038,17106
1012.847057,17319
1014.210462,17528
1015.573254,17505
1016.935433,17529
1018.296999,17354
1019.657953,17593
1021.018295,17119
1022.378025,17159
1023.737143,17189
1025.095649,17286
1026.453544,17052
1027.810829,17357
1029.167503,17520
1030.523566,17249
1031.87902,17322
1033.233863,17283
1034.588097,17204
1035.941722,17503
1037.294738,17450
1038.647145,17580
1039.998943,17654
1041.350133,17641
1042.700716,17258
1044.05069,17614
1045.400057,17521
1046.748817,17582
1048.09697,17452
1049.444516,17620
1050.791456,17826
1052.13779,17995
1053.483518,17984
1054.82864,18585
1056.173157,18415
1057.517069,18788
1058.860376,18816
1060.203079,19173
1061.545177,19249
1062.886671,19363
1064.227562,19309
1065.567848,19011
1066.907532,18819
1068.246613,18934
1069.585091,18621
1070.922966,18609
1072.260239,18224
1073.596911,18066
1074.93298,17744
1076.268448,18022
1077.603315,17420
1078.937581,17689
1080.271247,17614
1081.604312,17141
1082.936776,17122
1084.268641,16911
1085.599907,16680
1086.930573,16762
1088.260639,16331
1089.590107,16330
1090.918977,16093
1092.247248,16253
1093.574921,16082
1094.901996,16306
1096.228474,16180
1097.554354,16397
1098.879637,16882
1100.204323,16878
1101.528413,17068
1102.851907,17077
1104.174804,17249
1105.497106,17264
1106.818812,17424
1108.139923,17365
1109.460439,17998
1110.78036,17489
1112.099687,17857
1113.41842,17831
1114.736558,18197
1116.054103,18146
1117.371054,18536
1118.687412,18332
1120.003177,19069
1121.318349,18782
1122.632929,18762
1123.946916,18839
1125.260312,19089
1126.573116,18641
1127.885328,18686
1129.196949,18712
1130.507979,18491
1131.818419,18031
1133.128268,18051
1134.437527,17258
1135.746195,17161
1137.054275,16674
1138.361764,16072
1139.668665,16261
1140.974976,15880
1142.280699,15667
1143.585833,15158
1144.890379,15549
1146.194337,15043
1147.497708,15107
1148.800491,15001
1150.102687,14812
1151.404295,14708
1152.705318,14906
1154.005753,14539
1155.305603,14727
1156.604866,14591
1157.903544,14371
1159.201636,14384
1160.499143,14319
1161.796065,14261
1163.092402,14203
1164.388155,14120
1165.683324,13951
1166.977908,14164
1168.271909,13854
1169.565326,14060
1170.85816,13713
1172.150411,13769
1173.44208,13689
1174.733165,13628
1176.023669,13751
1177.31359,13676
1178.60293,13253
1179.891688,13535
1181.179865,13299
1182.467461,13533
1183.754476,13251
1185.04091,13469
1186.326765,13380
1187.612039,13321
1188.896733,13648
1190.180848,13906
1191.464383,13469
1192.747339,13813
1194.029717,13496
1195.311515,13589
1196.592736,13600
1197.873378,13831
1199.153442,13735
1200.432929,13865
1201.711838,13825
1202.990171,13913
1204.267926,13774
1205.545105,13661
1206.821707,14141
1208.097733,13784
1209.373183,13811
1210.648057,13468
1211.922356,13942
1213.196079,13782
1214.469228,13617
1215.741802,13754
1217.013801,13681
1218.285226,13240
1219.556077,13448
1220.826355,13705
1222.096058,13428
1223.365189,13554
1224.633746,13611
1225.90173,13269
1227.169142,13598
1228.435982,13595
1229.702249,13290
1230.967945,13562
1232.233069,13139
1233.497621,13530
1234.761602,13124
1236.025013,13192
1237.287852,13050
1238.550121,13037
1239.81182,13264
1241.072949,13085
1242.333509,13061
1243.593498,13142
1244.852919,13283
1246.11177,13235
1247.370053,13280
1248.627767,13126
1249.884912,13046
1251.14149,13508
1252.397499,13398
1253.652942,13505
1254.907816,13374
1256.162124,13510
1257.415864,13783
1258.669038,13418
1259.921646,13792
1261.173687,13786
1262.425162,13812
1263.676071,13721
1264.926415,13650
1266.176194,13877
1267.425408,13810
1268.674056,13815
