,"Scan 00855"
"400","15699.45"
"401","15669.55"
"402","15629"
"403","15589.85"
"404","15564.09"
"405","15562.13"
"406","15581.4"
"407","15612.75"
"408","15647.06"
"409","15675.55"
"410","15692.93"
"411","15696.38"
"412","15683.14"
"413","15650.94"
"414","15606.99"
"415","15567.37"
"416","15548.37"
"417","15565.69"
"418","15618.19"
"419","15684.05"
"420","15740.32"
"421","15764.4"
"422","15746.92"
"423","15699.77"
"424","15636.66"
"425","15571.21"
"426","15514.55"
"427","15472.83"
"428","15451.53"
"429","15456.04"
"430","15487.24"
"431","15533.7"
"432","15582.03"
"433","15618.92"
"434","15633.47"
"435","15622.84"
"436","15585.91"
"437","15521.6"
"438","15432.56"
"439","15337.85"
"440","15260.9"
"441","15224.97"
"442","15247.42"
"443","15313.91"
"444","15399.45"
"445","15479.19"
"446","15531.17"
"447","15551.9"
"448","15545.51"
"449","15516.1"
"450","15468.22"
"451","15409.94"
"452","15351.08"
"453","15301.39"
"454","15269.52"
"455","15253.61"
"456","15245.8"
"457","15238.18"
"458","15223.65"
"459","15204.05"
"460","15187.14"
"461","15180.73"
"462","15191.59"
"463","15212.14"
"464","15224.08"
"465","15208.98"
"466","15150.07"
"467","15056.68"
"468","14959.93"
"469","14891.39"
"470","14880.85"
"471","14926.4"
"472","14997.11"
"473","15061.15"
"474","15088.04"
"475","15073.24"
"476","15037.93"
"477","15004.27"
"478","14993.58"
"479","15008.81"
"480","15033.5"
"481","15050.31"
"482","15042.54"
"483","15008.19"
"484","14961.67"
"485","14918.19"
"486","14892.48"
"487","14887.58"
"488","14892.94"
"489","14897.32"
"490","14889.74"
"491","14866.16"
"492","14830.76"
"493","14788.2"
"494","14743.02"
"495","14697.19"
"496","14649.56"
"497","14598.83"
"498","14543.77"
"499","14486.86"
"500","14435"
"501","14395.31"
"502","14374.55"
"503","14369.35"
"504","14364.3"
"505","14343.38"
"506","14291.19"
"507","14208.84"
"508","14116.5"
"509","14035.24"
"510","13985.45"
"511","13970.63"
"512","13975.62"
"513","13984.35"
"514","13981.29"
"515","13961.67"
"516","13931.99"
"517","13899.23"
"518","13870.14"
"519","13847.02"
"520","13827.81"
"521","13810.27"
"522","13792.26"
"523","13773.43"
"524","13755"
"525","13738.26"
"526","13724.32"
"527","13711.35"
"528","13695.18"
"529","13671.55"
"530","13636.8"
"531","13595.09"
"532","13556.28"
"533","13530.35"
"534","13526.05"
"535","13538.56"
"536","13554.26"
"537","13559.44"
"538","13541.93"
"539","13504.14"
"540","13456.71"
"541","13410.34"
"542","13374.67"
"543","13351.22"
"544","13337.59"
"545","13331.38"
"546","13330.56"
"547","13335.73"
"548","13348.53"
"549","13370.6"
"550","13402.04"
"551","13434.47"
"552","13456.67"
"553","13457.49"
"554","13429.69"
"555","13383"
"556","13331.72"
"557","13290.11"
"558","13268.33"
"559","13262.41"
"560","13265.35"
"561","13270.17"
"562","13271.87"
"563","13270.79"
"564","13268.2"
"565","13265.36"
"566","13263.18"
"567","13261.84"
"568","13261.43"
"569","13262.05"
"570","13263.71"
"571","13266.32"
"572","13269.79"
"573","13273.95"
"574","13275.76"
"575","13268.5"
"576","13245.23"
"577","13199.6"
"578","13138.29"
"579","13081.01"
"580","13047.97"
"581","13057.61"
"582","13104.01"
"583","13162.76"
"584","13209.09"
"585","13220.98"
"586","13202.23"
"587","13171.26"
"588","13146.59"
"589","13143.49"
"590","13155.85"
"591","13168.8"
"592","13167.52"
"593","13141.92"
"594","13103.9"
"595","13071.72"
"596","13063.54"
"597","13089.68"
"598","13135.34"
"599","13180.77"
"600","13206.33"
"601","13201"
"602","13172.73"
"603","13132"
"604","13089.2"
"605","13052.25"
"606","13025.28"
"607","13012.1"
"608","13016.28"
"609","13036.05"
"610","13063.9"
"611","13092.07"
"612","13113.11"
"613","13123.45"
"614","13122.38"
"615","13109.25"
"616","13084.27"
"617","13054.61"
"618","13030.89"
"619","13023.7"
"620","13040.02"
"621","13068.5"
"622","13091.95"
"623","13093.23"
"624","13062"
"625","13009.51"
"626","12951.25"
"627","12902.64"
"628","12873.12"
"629","12860.18"
"630","12859.87"
"631","12868.29"
"632","12883.16"
"633","12904.26"
"634","12931.5"
"635","12964.51"
"636","12998.29"
"637","13024.01"
"638","13032.75"
"639","13017.18"
"640","12983.74"
"641","12945.95"
"642","12917.33"
"643","12908.4"
"644","12914.72"
"645","12927.26"
"646","12937.02"
"647","12937.67"
"648","12930.51"
"649","12918.18"
"650","12903.33"
"651","12890.19"
"652","12885.59"
"653","12896.59"
"654","12929.76"
"655","12979.68"
"656","13028.88"
"657","13059.38"
"658","13055.43"
"659","13024.53"
"660","12988.17"
"661","12967.96"
"662","12980.42"
"663","13014.2"
"664","13048.48"
"665","13062.48"
"666","13044.42"
"667","13009.13"
"668","12976.33"
"669","12965.48"
"670","12983.6"
"671","13017.29"
"672","13051.27"
"673","13070.87"
"674","13072.61"
"675","13063.44"
"676","13050.69"
"677","13041.19"
"678","13037.41"
"679","13039.6"
"680","13047.97"
"681","13062.19"
"682","13079.64"
"683","13097.03"
"684","13111.13"
"685","13119.12"
"686","13119.15"
"687","13109.54"
"688","13088.78"
"689","13061.51"
"690","13039.77"
"691","13035.96"
"692","13060.83"
"693","13105.99"
"694","13150.83"
"695","13174.53"
"696","13161.83"
"697","13126.06"
"698","13089.93"
"699","13076.04"
"700","13095.41"
"701","13129.79"
"702","13156.39"
"703","13152.97"
"704","13116.2"
"705","13066.96"
"706","13027.68"
"707","13018.83"
"708","13037.83"
"709","13066.99"
"710","13088.36"
"711","13088.03"
"712","13072.6"
"713","13055.19"
"714","13048.88"
"715","13060.79"
"716","13083.88"
"717","13109.14"
"718","13127.79"
"719","13138.97"
"720","13150.83"
"721","13172.05"
"722","13209.53"
"723","13253.38"
"724","13284.2"
"725","13282.56"
"726","13236.89"
"727","13167.82"
"728","13104.24"
"729","13074.79"
"730","13092.44"
"731","13141.37"
"732","13202.67"
"733","13258"
"734","13297.72"
"735","13319.8"
"736","13322.49"
"737","13305.16"
"738","13274.65"
"739","13240.78"
"740","13213.36"
"741","13199.1"
"742","13196.42"
"743","13202.34"
"744","13213.9"
"745","13229.2"
"746","13247.57"
"747","13268.41"
"748","13291.03"
"749","13313.77"
"750","13334.43"
"751","13350.8"
"752","13361.13"
"753","13365.2"
"754","13363.17"
"755","13355.29"
"756","13346.03"
"757","13346.42"
"758","13368"
"759","13420.69"
"760","13494.02"
"761","13563.73"
"762","13605.32"
"763","13601.45"
"764","13566.45"
"765","13523.47"
"766","13495.48"
"767","13492.9"
"768","13503.8"
"769","13513.98"
"770","13510.37"
"771","13496.34"
"772","13487.66"
"773","13500.44"
"774","13545.57"
"775","13608.69"
"776","13667.73"
"777","13700.74"
"778","13699.75"
"779","13682.81"
"780","13670.85"
"781","13683.52"
"782","13722.28"
"783","13774.49"
"784","13827.14"
"785","13868.83"
"786","13895.73"
"787","13906.31"
"788","13899.07"
"789","13875.97"
"790","13845.13"
"791","13815.32"
"792","13794.95"
"793","13788.03"
"794","13795.41"
"795","13817.85"
"796","13853.83"
"797","13891.96"
"798","13918.23"
"799","13918.83"
"800","13893.71"
"801","13864.26"
"802","13853.73"
"803","13882.61"
"804","13941.68"
"805","14003.62"
"806","14040.87"
"807","14035.86"
"808","14005.62"
"809","13974.65"
"810","13966.97"
"811","13990.17"
"812","14031.29"
"813","14076.09"
"814","14111.84"
"815","14137.66"
"816","14158.24"
"817","14178.29"
"818","14199.54"
"819","14216.09"
"820","14220.9"
"821","14207.3"
"822","14176.74"
"823","14138.06"
"824","14100.42"
"825","14072.05"
"826","14056.5"
"827","14055.76"
"828","14071.76"
"829","14101.11"
"830","14131.21"
"831","14148.56"
"832","14141.37"
"833","14116.59"
"834","14092.77"
"835","14088.63"
"836","14115.98"
"837","14164.36"
"838","14218.83"
"839","14264.71"
"840","14293.94"
"841","14305.72"
"842","14299.58"
"843","14276.58"
"844","14246.85"
"845","14223.91"
"846","14221.2"
"847","14244.33"
"848","14284.3"
"849","14330.53"
"850","14372.89"
"851","14406.32"
"852","14428.95"
"853","14439.02"
"854","14437.26"
"855","14432.39"
"856","14434.71"
"857","14454.05"
"858","14488.83"
"859","14525.85"
"860","14551.37"
"861","14554.93"
"862","14543.29"
"863","14528.95"
"864","14524.29"
"865","14535.57"
"866","14559.42"
"867","14591.6"
"868","14627.61"
"869","14660.42"
"870","14681.7"
"871","14683.15"
"872","14664.5"
"873","14644.85"
"874","14646.11"
"875","14688.24"
"876","14762.33"
"877","14837.48"
"878","14882.2"
"879","14875.74"
"880","14835.86"
"881","14788.97"
"882","14760.83"
"883","14760.48"
"884","14778.92"
"885","14806.28"
"886","14833.81"
"887","14858.69"
"888","14880.04"
"889","14897.04"
"890","14912.39"
"891","14933.93"
"892","14969.92"
"893","15026.42"
"894","15093.14"
"895","15152.48"
"896","15186.89"
"897","15189.31"
"898","15173.06"
"899","15153.84"
"900","15146.05"
"901","15151.16"
"902","15163.01"
"903","15175.36"
"904","15184.2"
"905","15191.17"
"906","15198.77"
"907","15209.22"
"908","15220.85"
"909","15229.13"
"910","15229.44"
"911","15221.58"
"912","15219.25"
"913","15238.9"
"914","15295.68"
"915","15380.98"
"916","15465"
"917","15517.24"
"918","15515.98"
"919","15473.39"
"920","15409.79"
"921","15345.22"
"922","15293.33"
"923","15261.1"
"924","15255.22"
"925","15280"
"926","15329.04"
"927","15392.92"
"928","15462.11"
"929","15524.13"
"930","15562.97"
"931","15562.44"
"932","15513.06"
"933","15439.41"
"934","15376.88"
"935","15360.16"
"936","15397.07"
"937","15461.06"
"938","15523.29"
"939","15559.51"
"940","15570.67"
"941","15566.38"
"942","15556.21"
"943","15547.07"
"944","15542.25"
"945","15544.8"
"946","15556.7"
"947","15573.91"
"948","15590.17"
"949","15599.34"
"950","15599.12"
"951","15592.54"
"952","15583.04"
"953","15573.56"
"954","15563.91"
"955","15552.81"
"956","15539.04"
"957","15524.91"
"958","15517.61"
"959","15524.67"
"960","15550.96"
"961","15586.21"
"962","15614.78"
"963","15621.34"
"964","15603.57"
"965","15576.45"
"966","15556.16"
"967","15555.84"
"968","15572.49"
"969","15597.71"
"970","15623.18"
"971","15643.45"
"972","15656.67"
"973","15661.17"
"974","15655.6"
"975","15639.99"
"976","15614.81"
"977","15580.61"
"978","15540.8"
"979","15501.98"
"980","15470.94"
"981","15454.21"
"982","15457.35"
"983","15485.65"
"984","15543.74"
"985","15620.83"
"986","15691.05"
"987","15727.84"
"988","15714.87"
"989","15672.55"
"990","15629.57"
"991","15613.37"
"992","15629.73"
"993","15666.29"
"994","15710.11"
"995","15751.87"
"996","15792.92"
"997","15836.56"
"998","15885.28"
"999","15930.73"
"1000","15957.04"
"1001","15948.26"
"1002","15899.76"
"1003","15833.77"
"1004","15776.36"
"1005","15753.65"
"1006","15786.06"
"1007","15855.77"
"1008","15929.22"
"1009","15973.16"
"1010","15974.37"
"1011","15948.34"
"1012","15912.79"
"1013","15883.99"
"1014","15870.39"
"1015","15877.78"
"1016","15911.63"
"1017","15967.43"
"1018","16028.92"
"1019","16079.17"
"1020","16105.43"
"1021","16112.71"
"1022","16110.69"
"1023","16108.85"
"1024","16112.03"
"1025","16120.82"
"1026","16135.63"
"1027","16156"
"1028","16178.8"
"1029","16200.32"
"1030","16217.13"
"1031","16229.15"
"1032","16238.66"
"1033","16248"
"1034","16259.69"
"1035","16276.67"
"1036","16301.93"
"1037","16338.14"
"1038","16384.98"
"1039","16440.63"
"1040","16503.23"
"1041","16566.13"
"1042","16615.11"
"1043","16635.26"
"1044","16616.13"
"1045","16572"
"1046","16525.7"
"1047","16499.55"
"1048","16501.74"
"1049","16524.99"
"1050","16561.19"
"1051","16601.96"
"1052","16637.95"
"1053","16659.55"
"1054","16658.04"
"1055","16636.3"
"1056","16605.67"
"1057","16577.65"
"1058","16561.99"
"1059","16564.6"
"1060","16590.85"
"1061","16643.94"
"1062","16710.62"
"1063","16770.18"
"1064","16802.22"
"1065","16802.78"
"1066","16789.96"
"1067","16783.44"
"1068","16797.25"
"1069","16821.58"
"1070","16840.33"
"1071","16838.46"
"1072","16818.53"
"1073","16797.28"
"1074","16791.86"
"1075","16810.01"
"1076","16837.56"
"1077","16857.23"
"1078","16854.84"
"1079","16839.98"
"1080","16833.18"
"1081","16854.54"
"1082","16903.87"
"1083","16954.65"
"1084","16978.62"
"1085","16958.39"
"1086","16918.37"
"1087","16893"
"1088","16913.66"
"1089","16971.12"
"1090","17027.36"
"1091","17043.92"
"1092","17005.46"
"1093","16941.09"
"1094","16885.04"
"1095","16865.68"
"1096","16877.23"
"1097","16901.66"
"1098","16921.29"
"1099","16927.24"
"1100","16919.29"
"1101","16897.61"
"1102","16866.92"
"1103","16844.09"
"1104","16848.01"
"1105","16893.18"
"1106","16958.73"
"1107","17006.67"
"1108","16999.91"
"1109","16938.26"
"1110","16867.95"
"1111","16838.24"
"1112","16879.44"
"1113","16957.73"
"1114","17025.66"
"1115","17040.33"
"1116","17006.35"
"1117","16956.17"
"1118","16922.3"
"1119","16918.92"
"1120","16933.13"
"1121","16949.82"
"1122","16957.9"
"1123","16962.03"
"1124","16970.75"
"1125","16991.92"
"1126","17024.83"
"1127","17063.25"
"1128","17100.78"
"1129","17128.83"
"1130","17135.33"
"1131","17107.87"
"1132","17041.19"
"1133","16959.78"
"1134","16895.85"
"1135","16879.04"
"1136","16907.4"
"1137","16957.94"
"1138","17007.47"
"1139","17043.38"
"1140","17069.8"
"1141","17092.37"
"1142","17114.6"
"1143","17131.77"
"1144","17137.09"
"1145","17124.74"
"1146","17099.81"
"1147","17074.15"
"1148","17059.62"
"1149","17062.59"
"1150","17081.51"
"1151","17114.23"
"1152","17157.52"
"1153","17204.34"
"1154","17246.84"
"1155","17277.45"
"1156","17291.33"
"1157","17285.06"
"1158","17255.65"
"1159","17213.43"
"1160","17184.68"
"1161","17196.66"
"1162","17261.55"
"1163","17350.2"
"1164","17426.43"
"1165","17460.01"
"1166","17461.5"
"1167","17458.39"
"1168","17476.79"
"1169","17514.38"
"1170","17542.5"
"1171","17531.65"
"1172","17474.12"
"1173","17405.96"
"1174","17368.51"
"1175","17392.09"
"1176","17455.51"
"1177","17522.51"
"1178","17559.55"
"1179","17565.33"
"1180","17559.65"
"1181","17562.34"
"1182","17580.41"
"1183","17603.21"
"1184","17618.82"
"1185","17619.19"
"1186","17607.68"
"1187","17589.78"
"1188","17571.28"
"1189","17559.98"
"1190","17564.51"
"1191","17592.86"
"1192","17640.79"
"1193","17693.46"
"1194","17735.72"
"1195","17760.17"
"1196","17773.03"
"1197","17781.9"
"1198","17792.41"
"1199","17802.72"
"1200","17809.23"
"1201","17809.36"
"1202","17808.79"
"1203","17817.44"
"1204","17844.64"
"1205","17886.61"
"1206","17926.4"
"1207","17946.61"
"1208","17941.23"
"1209","17926.63"
"1210","17921.79"
"1211","17938.96"
"1212","17963.15"
"1213","17972.46"
"1214","17948.24"
"1215","17900.25"
"1216","17852.92"
"1217","17830.13"
"1218","17838.95"
"1219","17869.96"
"1220","17913.01"
"1221","17960.07"
"1222","18007.04"
"1223","18050.25"
"1224","18085.24"
"1225","18104.73"
"1226","18100.76"
"1227","18068.09"
"1228","18021.91"
"1229","17986.77"
"1230","17985.93"
"1231","18019.4"
"1232","18067.47"
"1233","18110"
"1234","18137.15"
"1235","18155.04"
"1236","18171.12"
"1237","18190.37"
"1238","18210.79"
"1239","18229.08"
"1240","18242.58"
"1241","18251.87"
"1242","18258.65"
"1243","18264.79"
"1244","18273.63"
"1245","18289.48"
"1246","18316.38"
"1247","18351.03"
"1248","18382.01"
"1249","18397.57"
"1250","18393.62"
"1251","18380.79"
"1252","18371.39"
"1253","18374.15"
"1254","18385.43"
"1255","18398.92"
"1256","18409.19"
"1257","18416.39"
"1258","18422.89"
"1259","18431.05"
"1260","18443.13"
"1261","18461.35"
"1262","18487.66"
"1263","18517.41"
"1264","18538.44"
"1265","18538.26"
"1266","18516.58"
"1267","18496.26"
"1268","18502.77"
"1269","18550.65"
"1270","18618.85"
"1271","18679.02"
"1272","18706.79"
"1273","18700.13"
"1274","18664.96"
"1275","18608.7"
"1276","18554.45"
"1277","18534.49"
"1278","18579.14"
"1279","18673.82"
"1280","18761.66"
"1281","18784.82"
"1282","18726.57"
"1283","18631.64"
"1284","18549.82"
"1285","18513.24"
"1286","18511.63"
"1287","18528.54"
"1288","18549.58"
"1289","18568.66"
"1290","18581.68"
"1291","18585.69"
"1292","18584.89"
"1293","18586.41"
"1294","18596.9"
"1295","18617.85"
"1296","18647.52"
"1297","18684.1"
"1298","18724.95"
"1299","18766.64"
"1300","18805.66"
"1301","18835.27"
"1302","18844.18"
"1303","18820.78"
"1304","18766.86"
"1305","18713.08"
"1306","18693.88"
